metabolite,tissue,estimate_trt_(Intercept),estimate_trt_trtlive,estimate_trt_genotypeR500,estimate_trt_trtlive:genotypeR500,p.value_trt_trtlive,p.value_trt_genotypeR500,p.value_trt_trtlive:genotypeR500,estimate_leaf_(Intercept),estimate_leaf_value_scale,p.value_leaf_value_scale,FDR_trt_trtlive,FDR_trt_genotypeR500,FDR_trt_trtlive:genotypeR500,FDR_leaf_value_scale,sig.both
uridine,leaf,2397.5833333333326,909.9166666666665,135.25000000000048,-1264.5833333333344,0.34937829972874046,0.8638262569287911,0.3576543065446339,1.5824339392898876e-16,-0.19818729261761212,0.24658039241305266,0.9238408329976535,0.899606042718741,0.9512902010234224,0.5710282771670694,FALSE
urea,leaf,9459.58333333334,-1032.250000000005,63.41666666666138,-1090.2499999999923,0.6103248842877927,0.9693505075711899,0.7032467028335645,1.6146024147127558e-16,-0.10066624249240179,0.5591069745566013,0.9405884020102145,0.9897760394494015,0.9512902010234224,0.8320680907117086,FALSE
uracil,leaf,5980.083333333333,2588.7499999999977,-2335.500000000001,-2929.4999999999995,0.12870003010643008,0.09450253395955481,0.2211107880548005,2.5549904063556653e-16,-0.41085693600545575,0.01280471369257478,0.8183889037151214,0.16632445976881646,0.9512902010234224,0.14085185061832256,FALSE
UDP-N-acetylglucosamine,leaf,258.74999999999994,-23.250000000000032,57.91666666666658,12.583333333333458,0.6770517612678052,0.2089190167808489,0.873214123616439,1.1324427210822186e-16,0.21643769168881186,0.20483810580912373,0.9405884020102145,0.29182338851928097,0.9788897181942247,0.5447836655573859,FALSE
tyrosine,leaf,83423.91666666667,346.2500000000116,-36552.83333333335,8188.666666666666,0.9785416470066144,0.0013742312465005201,0.6533722291342059,2.0835804675928833e-16,-0.38348221900608,0.020957711217503065,0.9994467102546782,0.005374771097424257,0.9512902010234224,0.16105874996539998,FALSE
tryptophan,leaf,16343.58333333333,3993.5833333333303,-3971.416666666663,-2655.916666666664,0.36193342116233473,0.2683327770312253,0.6665190255219058,1.9489985917673716e-16,-0.36673538074032247,0.027803471115563534,0.9238408329976535,0.35508698313906506,0.9512902010234224,0.17617878090616998,FALSE
tocopherol alpha-,leaf,1712.7500000000002,78.41666666666649,104.8333333333328,95.00000000000071,0.8382723552996041,0.7383789789414986,0.8611899490584796,1.5982919123868598e-16,0.27444843359079213,0.10526406384454262,0.9770591690909293,0.7972680999613727,0.9788897181942247,0.3308299149399911,FALSE
thymine,leaf,267.1666666666667,-20.1666666666667,-37.50000000000016,29.50000000000017,0.7802608334857462,0.5262608990715336,0.7729232883315307,1.6567355065919945e-16,-0.06709309230097883,0.6974313803615568,0.9405884020102145,0.6093547252407232,0.9512902010234224,0.870552644990312,FALSE
threonine,leaf,53845.83333333332,-9113.166666666659,-20687.083333333336,-1215.0833333333271,0.3195524448278295,0.00835989954196027,0.9246494595167158,1.516237471793714e-16,-0.41203458727033343,0.012524996441094262,0.9238408329976535,0.024120365891557503,0.9974557918960908,0.14085185061832256,FALSE
threonic acid,leaf,13939.250000000007,-502.91666666666845,17561.16666666668,-568.3333333333426,0.910222580400233,2.9790978876414816e-5,0.9282028563667101,1.598739931954184e-16,-0.37453203435039667,0.024417001544557136,0.9994467102546782,2.2796575140213076e-4,0.9974557918960908,0.17617878090616998,FALSE
tagatose,leaf,2305.5,330.4999999999997,473.0833333333335,-22.24999999999988,0.2801918614106494,0.06305813217759591,0.9586210940612684,1.3320625307863288e-16,0.30039151678725423,0.07505815356291354,0.922847743785305,0.11933582003502023,0.9974557918960908,0.2733667320785291,FALSE
sucrose,leaf,12493.749999999978,778.4166666667064,198654.5833333335,103634.24999999988,0.9956561355255922,0.09601634440298024,0.6090263644697161,1.5892875788136487e-16,0.09771115419869372,0.5707576419822247,0.9994467102546782,0.16731561004875764,0.9512902010234224,0.8320680907117086,FALSE
succinic acid,leaf,30984.91666666666,3042.5833333333326,-10534.833333333328,-4127.000000000003,0.4547855026471369,0.00302638338549709,0.4732730772521311,1.775659608349063e-16,-0.0935768612004546,0.5872401343165743,0.9405884020102145,0.010443989722499762,0.9512902010234224,0.8320680907117086,FALSE
stigmasterol,leaf,314.4166666666667,-30.250000000000068,-18.50000000000015,-11.833333333333128,0.5915336243786876,0.6874369526464693,0.8817544286846276,1.5516703725680575e-16,0.05157062801604043,0.7651670842540597,0.9405884020102145,0.7609365010426327,0.9822074648638889,0.8977960455247633,FALSE
stearic acid,leaf,258180.75000000003,-75053.24999999999,-63675.91666666677,40317.75000000012,0.12062350246916964,0.10730028213939859,0.5489710966004222,1.639161402046253e-16,0.050241656401708204,0.7710551261038215,0.8181884625278713,0.17649392202368366,0.9512902010234224,0.8987132595647191,FALSE
spermidine,leaf,685.0833333333329,-113.08333333333323,-229.83333333333348,103.66666666666703,0.6469694021394176,0.2583232365785974,0.7663464380468759,1.6032259131327625e-16,-0.035854864680075205,0.8355385733121328,0.9405884020102145,0.3444309821047965,0.9512902010234224,0.9248728861819834,FALSE
sinapinic acid,leaf,5974.833333333331,863.3333333333347,-2558.6666666666656,-53.50000000000115,0.5510324462641718,0.03614582197692156,0.9790987023453521,1.724608859269873e-16,0.3301581449237807,0.04923232074773353,0.9405884020102145,0.07914061245528266,0.9974557918960908,0.21133874272197808,FALSE
shikimic acid,leaf,17832.249999999996,11.91666666666676,-4781.416666666666,-2992.083333333331,0.9949191459962103,0.0034933324924163595,0.26297256409951336,1.2406565665340885e-16,-0.2182387922973894,0.2010028737879835,0.9994467102546782,0.011823586897409217,0.9512902010234224,0.5447836655573859,FALSE
serine,leaf,241610.33333333326,80911.33333333355,-90105.91666666653,-93156.91666666704,0.13019823468195113,0.0419894510601108,0.215168677432485,1.5986546622506379e-16,0.06921544095739078,0.6883333134757091,0.8183889037151214,0.08694286337152356,0.9512902010234224,0.8653333083694629,FALSE
saccharic acid,leaf,347,108.66666666666634,483.91666666666646,-263.58333333333314,0.48431583578919024,5.19169743361393e-4,0.23376255217871408,1.4791075456319449e-16,-0.14497484662562973,0.3988814483905886,0.9405884020102145,0.0024695641846379777,0.9512902010234224,0.7714630210631164,FALSE
ribose,leaf,79553.41666666666,-1257.9166666666586,-11246.083333333332,-10550.916666666672,0.9383868596840395,0.39997283960559404,0.647161889440854,1.8396435906782828e-16,-0.5261229790799375,9.814948877788301e-4,0.9994467102546782,0.48885569285128166,0.9512902010234224,0.07322161371682673,FALSE
ribonic acid,leaf,826.7500000000001,68.08333333333334,176.7500000000001,-172.08333333333357,0.6436985320523996,0.14741081257461375,0.4101559042844868,1.3390420176626107e-16,-0.36041442202650037,0.030824713045518985,0.9405884020102145,0.22593734894250891,0.9512902010234224,0.17617878090616998,FALSE
ribitol,leaf,12199.250000000005,1463.7499999999989,8545.16666666667,-2105.5000000000064,0.6087584977048633,8.158584528454838e-4,0.6026639611122003,1.7714100333517769e-16,-0.13203632434991183,0.4427075235747254,0.9405884020102145,0.003589777192520129,0.9512902010234224,0.8320680907117086,FALSE
raffinose,leaf,665.0833333333325,35.583333333334785,4050.500000000002,3675.833333333332,0.9887655109962583,0.05653852913119065,0.30768847066802424,1.6389047167867887e-16,0.09196917809456176,0.5937059111232379,0.9994467102546782,0.10934924315483027,0.9512902010234224,0.8320680907117086,FALSE
quinic acid,leaf,1536.9166666666667,404.91666666666725,-1177.1666666666672,142.4999999999994,0.3136547045712698,9.386469133087411e-4,0.8005498720749558,1.6008481190656186e-16,-0.060278971497442976,0.7269184832722813,0.9238408329976535,0.004029313579081426,0.9717019136909808,0.8762852949035719,FALSE
pyruvic acid,leaf,24943.24999999999,-3856.0833333333194,-16909.333333333332,3877.166666666651,0.5118224249677483,0.0011742427418420993,0.6403675597446379,1.7582176201756242e-16,0.21668127646032648,0.20431647070649564,0.9405884020102145,0.004696970967368397,0.9512902010234224,0.5447836655573859,FALSE
pyrrole-2-carboxylic acid,leaf,3222.5000000000023,-124.00000000000843,15528.750000000013,-11046.916666666668,0.9775326106600923,1.2855262503196101e-4,0.08324825276561586,1.6907387038075547e-16,-0.47617889559378057,0.003328255168946669,0.9994467102546782,7.070394376757856e-4,0.9512902010234224,0.07322161371682673,FALSE
putrescine,leaf,12510.999999999998,-1296.500000000001,-7057.08333333334,575.4166666666754,0.5151601762146683,1.1660915909545805e-4,0.8376761695365463,1.315802331894086e-16,-0.21207128204984207,0.21434595473332102,0.9405884020102145,6.620390968000199e-4,0.9788897181942247,0.5447836655573859,FALSE
pseudo uridine,leaf,1467.3333333333333,-115.83333333333309,475.08333333333366,-239.41666666666725,0.7642024769346561,0.1384072621095536,0.6613465392720494,1.816668224025411e-16,-0.4592212073969898,0.004842261545856056,0.9405884020102145,0.21945655974127418,0.9512902010234224,0.09469311467451844,FALSE
"propane-1,3-diol NIST",leaf,4255.416666666667,-1441.7499999999986,-1286.0000000000014,1459.3333333333344,0.1431438630558257,0.11083929219770612,0.29069858805722026,1.6779988311581552e-16,0.09415240865699023,0.584932992817782,0.8189637574804588,0.1806269946925581,0.9512902010234224,0.8320680907117086,FALSE
proline,leaf,300048.1666666667,-46670.166666666846,313211.66666666674,-323047.49999999994,0.7597632459119262,0.016330863332389846,0.14096643765819133,1.5542011861269585e-16,0.11728146250474533,0.4957378989003427,0.9405884020102145,0.03990437946414783,0.9512902010234224,0.8320680907117086,FALSE
phytol,leaf,7329.416666666667,1834.4166666666608,2605.833333333332,-5956.499999999996,0.2517842355184,0.05068133244899305,0.011541722771101373,1.6005930968719864e-16,0.03611891541095151,0.8343441200289201,0.922847743785305,0.10022375855081771,0.9512902010234224,0.9248728861819834,FALSE
phosphate,leaf,19679.666666666682,6085.333333333317,94855.4166666667,-18404.750000000036,0.7113904907488084,4.3588413353065986e-8,0.4305638962647531,1.551730231402184e-16,0.06073271345992979,0.7249423789740728,0.9405884020102145,1.5343121500279228e-6,0.9512902010234224,0.8762852949035719,FALSE
phenylpyruvate,leaf,3041.0833333333335,287.24999999999966,-1019.5833333333344,-803.4166666666663,0.5436047316471955,0.011851299928075548,0.2335655764733779,1.6456027387172253e-16,-0.11095082037627954,0.5194426978109234,0.9405884020102145,0.031131772945392485,0.9512902010234224,0.8320680907117086,FALSE
phenylethylamine,leaf,1881.5833333333337,-469.4166666666666,-416.0000000000009,153.16666666666762,0.07387274681332032,0.05340445676256624,0.6726990678819267,1.5668925607650109e-16,-0.09030961604696039,0.6004127700021988,0.7774428207455996,0.10443538211346287,0.9512902010234224,0.8320680907117086,FALSE
phenylalanine,leaf,114869.33333333331,-2354.999999999994,-58597.166666666715,2378.5000000000387,0.8715225901146201,2.180188565752778e-5,0.9080412584176134,1.981097629262999e-16,-0.40185565309166527,0.015122150304197517,0.9832562555139304,1.7441508526022225e-4,0.9973303555259346,0.14400913170130564,FALSE
phenol,leaf,1486.7500000000007,-309.25000000000045,-197.2500000000007,52.58333333333433,0.36292179547984726,0.476131329438612,0.9123306093163379,1.4361260836101728e-16,0.1508066776984258,0.3799746367943443,0.9238408329976535,0.5586607598746381,0.9973303555259346,0.7533160794395187,FALSE
pentitol,leaf,945.4999999999997,-321.4999999999995,1177.5000000000002,291.16666666666606,0.1546103989606399,2.2970261390715974e-7,0.35748461072769644,1.8589810313890372e-16,-0.33331563925013424,0.04697443757803398,0.8245887944567462,5.053457505957514e-6,0.9512902010234224,0.2071369970816596,FALSE
pelargonic acid,leaf,4141.333333333333,-658.4999999999998,-1037.2500000000011,675.0833333333347,0.44648329690246713,0.14680223281781557,0.5802154348619515,1.6217829596300436e-16,0.01533108087313028,0.9292843994101365,0.9405884020102145,0.22593734894250891,0.9512902010234224,0.9620826723304944,FALSE
palmitic acid,leaf,51248.083333333336,-10132.249999999996,-10153.666666666686,6755.0000000000255,0.24479717410507085,0.15562373043960967,0.5803475948769157,1.47001955643214e-16,0.10198428362358582,0.5539463168187506,0.922847743785305,0.23410065433650684,0.9512902010234224,0.8320680907117086,FALSE
oxoproline,leaf,1127830.0833333337,-138879.2500000002,-582978.083333334,82318.75000000065,0.3318308001313566,1.6403108404098732e-5,0.6823615902931579,1.9483572112903272e-16,-0.17006032131502455,0.32139325970653243,0.9238408329976535,1.4008346850864003e-4,0.9512902010234224,0.6707815620138268,FALSE
ornithine,leaf,36005.66666666668,10355.999999999989,13684.916666666657,-5387.416666666666,0.1880959826632636,0.036991090746956154,0.6241608433114303,1.4517248341972482e-16,0.2566721275939424,0.1307560136012177,0.894726836452281,0.07939551184712541,0.9512902010234224,0.4037378665581458,FALSE
oleic acid,leaf,678.6666666666667,-101.66666666666679,-40.16666666666693,-12.666666666666263,0.585341921842943,0.7914116140786065,0.9615735695435021,1.8625285994861259e-16,0.21796267030762237,0.20158757208569963,0.9405884020102145,0.834062539388232,0.9974557918960908,0.5447836655573859,FALSE
octanol NIST,leaf,1851.9166666666663,-220.08333333333383,-134.00000000000082,-163.49999999999872,0.5304805254518363,0.6394970108289704,0.74120648970571,1.7170440291442495e-16,0.09609780466506353,0.5771646311211178,0.9405884020102145,0.7261385413283793,0.9512902010234224,0.8320680907117086,FALSE
octadecanol,leaf,701.3333333333335,-130.8333333333335,-48.583333333333556,59.41666666666705,0.2646586068193419,0.6091579643886551,0.7178144490307097,1.5880752209700157e-16,0.01017627801197977,0.9530283533507939,0.922847743785305,0.6961805307298915,0.9512902010234224,0.9808946794721621,FALSE
nicotinamide,leaf,4229.5,-160.00000000000074,1453.333333333333,-947.3333333333336,0.8633154082375798,0.06242654887308547,0.47276597636770656,8.840783007572835e-17,-0.3649072409168081,0.028651074394301698,0.9832562555139304,0.11933582003502023,0.9512902010234224,0.17617878090616998,FALSE
N-acetylornithine,leaf,1140.5000000000002,-81.66666666666679,441.16666666666674,-262.6666666666666,0.8207204740961828,0.1404220762174296,0.6068851486484337,1.5539852560941257e-16,-0.0537621484203358,0.7554858920558432,0.9728223458925759,0.2206632626273894,0.9512902010234224,0.8923860201464994,FALSE
N-acetylmannosamine,leaf,29466.166666666657,2.8333333333390716,9083.250000000004,6178.749999999997,0.9994467102546782,0.00986390579903269,0.2892304731133467,1.393443821717351e-16,0.19596353682280915,0.2520293652570401,0.9994467102546782,0.027543269027902065,0.9512902010234224,0.5740834031349782,FALSE
n-acetyl-d-hexosamine,leaf,35530.416666666686,8854.91666666666,20137.250000000025,-8574.250000000031,0.1863247281194552,6.810247275000731e-4,0.36204798782711234,9.058588574820368e-17,0.35789277124874447,0.03210275753616044,0.894726836452281,0.00307334236000033,0.9512902010234224,0.1765651664488824,FALSE
myristic acid,leaf,1342.75,-228.4166666666668,-235.91666666666754,386.75000000000097,0.34940364895061427,0.23845919863819967,0.2639871333600551,1.6285533578800797e-16,-0.0425356482055486,0.8054358313623767,0.9238408329976535,0.32283706892556263,0.9512902010234224,0.9086968353831942,FALSE
myo-inositol,leaf,317767.99999999994,84957.83333333307,1208763.916666667,-250822.2500000003,0.652271868797027,4.792390766369266e-9,0.34943619805375614,1.694465501368353e-16,-0.10132184268796779,0.5565372524647946,0.9405884020102145,3.630786769983312e-7,0.9512902010234224,0.8320680907117086,FALSE
mucic acid,leaf,714.1666666666671,-14.333333333333673,1837.250000000001,-280.5833333333339,0.9467663867350911,5.818134813815876e-12,0.35857762366465784,1.584297134207743e-16,-0.004766324129273664,0.9779901241318645,0.9994467102546782,1.0239917272315941e-9,0.9512902010234224,0.9892313899264837,FALSE
methyl O-D-galactopyranoside,leaf,39162.83333333332,23547.666666666653,-4832.083333333337,-32503.58333333332,0.17869371767670847,0.731934663740001,0.18903372839767799,1.9273220622085617e-16,0.3174287037475273,0.059231240313091,0.894726836452281,0.7960039275485974,0.9512902010234224,0.24243484407218643,FALSE
methionine sulfoxide,leaf,3662.9166666666665,666.2499999999997,-10.666666666666842,-482.99999999999994,0.31492785553182856,0.9841523119525298,0.604324963300817,1.4777725008574865e-16,-0.3052847267212831,0.07020865445705031,0.9238408329976535,0.9897760394494015,0.9512902010234224,0.26862441705306206,FALSE
methionine,leaf,18340.999999999996,-528.3333333333237,-8795.833333333334,872.833333333324,0.8702429245849331,0.002042010097934001,0.8486769661103575,1.13801489419614e-16,-0.3600007024041359,0.03103148981870039,0.9832562555139304,0.00781290820079096,0.9788897181942247,0.17617878090616998,FALSE
methanolphosphate,leaf,25162.91666666667,7589.583333333324,49796.41666666667,-15373.250000000016,0.3755023505558853,3.335630076889884e-8,0.2072344684747589,1.6310598395010237e-16,0.05500444723968533,0.7500140906159826,0.9238408329976535,1.4676772338315488e-6,0.9512902010234224,0.8921671056825081,FALSE
melibiose,leaf,446.0833333333332,-29.58333333333337,113.49999999999999,-24.333333333333247,0.7660022789140758,0.16807477334582266,0.8625137187994534,1.8175918339282448e-16,-0.4874933570663319,0.002564109622986081,0.9405884020102145,0.24670416081984675,0.9788897181942247,0.07322161371682673,FALSE
melezitose,leaf,371.6666666666669,7.499999999999815,51.416666666666515,-103.08333333333309,0.9291446656543381,0.4572445639788323,0.3902223374422119,1.637640259178632e-16,0.04619077080859351,0.7890792665538238,0.9994467102546782,0.543750292299152,0.9512902010234224,0.9026222582137967,FALSE
maltotriose,leaf,502.6666666666669,168.9999999999997,394.1666666666663,-141.16666666666612,0.5067387856451366,0.06406161402084794,0.6942913327324223,1.5980303114115388e-16,0.07115694994673188,0.6800479889298465,0.9405884020102145,0.11973733504997885,0.9512902010234224,0.8653333083694629,FALSE
maltose,leaf,136070.00000000006,37065.499999999985,62430.50000000005,-17072.50000000005,0.04031129325216701,1.0960987475404947e-4,0.4913782085082332,1.4194352841767615e-16,0.28868021008524275,0.08772525445297812,0.7774428207455996,6.430445985570901e-4,0.9512902010234224,0.29267277927031543,FALSE
malonic acid,leaf,536.0833333333333,-114.91666666666666,903.9166666666671,-196.916666666667,0.5599848648306529,2.791709302940811e-6,0.48058897268097733,1.7647116465345713e-16,0.1280586756993643,0.4566900090426629,0.9405884020102145,4.094506977646523e-5,0.9512902010234224,0.8320680907117086,FALSE
malic acid,leaf,3202765.666666666,-826535.4999999999,-318315.75000000146,318320.58333333477,0.06522181229420608,0.37454100951424385,0.6066725044177721,1.5916945768033242e-16,-0.04358405016940405,0.8007356139767868,0.7774428207455996,0.4642198427782177,0.9512902010234224,0.9086968353831942,FALSE
maleimide,leaf,1295.6666666666663,337.99999999999733,4021.250000000002,-2035.4166666666658,0.7632970923167393,1.0449996840488222e-4,0.20515068043125417,1.714713111328692e-16,-0.20666203596253763,0.22654033919308897,0.9405884020102145,6.342067048020438e-4,0.9512902010234224,0.5545353486662687,FALSE
maleic acid,leaf,44939.75000000001,3527.583333333328,1304.499999999996,-364.33333333332666,0.7345614464259176,0.8778645721786448,0.9802267891637935,1.62764135081083e-16,-0.10577112486129983,0.5392445340672989,0.9405884020102145,0.9088480276673029,0.9974557918960908,0.8320680907117086,FALSE
lyxose,leaf,2297.8333333333335,316.6666666666659,1842.5000000000007,-1482.5000000000007,0.5982221284544939,6.242707210360819e-4,0.08762398169128202,1.3652134473523674e-16,0.12352929822410326,0.47289625145964354,0.9405884020102145,0.0028913591290092213,0.9512902010234224,0.8320680907117086,FALSE
lyxitol,leaf,6320.416666666664,839.4166666666698,4741.000000000008,-10660.000000000016,0.8594586878557854,0.22592668466776614,0.11879394984512485,1.5990976200457268e-16,0.027014112590814054,0.8757234174460501,0.9832562555139304,0.3106491914181784,0.9512902010234224,0.9419067141889818,FALSE
lysine,leaf,59043.75,-7515.749999999991,-42099.08333333335,17956.250000000022,0.551395469996508,2.426342303439505e-4,0.3167523950618068,1.6714308067151923e-16,-0.33575778950096735,0.045285771232163416,0.9405884020102145,0.0012940492285010692,0.9512902010234224,0.2071369970816596,FALSE
linolenic acid,leaf,15023.833333333334,-788.666666666667,-6486.250000000005,2373.250000000007,0.7506230997381449,0.0028698723736080714,0.5000787327670548,1.5924047627988593e-16,0.06406919850881211,0.710466003206366,0.9405884020102145,0.010101950755100411,0.9512902010234224,0.874419696253989,FALSE
linoleic acid,leaf,556.9166666666667,-21.75000000000015,171.66666666666669,-98.33333333333326,0.8849500208306391,0.16820738237716826,0.6441708064660334,1.5262778447789e-16,0.07896479607112102,0.6471076747875721,0.9881916431165431,0.24670416081984675,0.9512902010234224,0.8563229380647571,FALSE
lignoceric acid,leaf,985.0000000000005,-290.0000000000001,-150.91666666666703,330.75000000000045,0.09718035259319995,0.2842479192772781,0.1777471191356379,1.4789929775002024e-16,0.11361689583491459,0.5093920853025184,0.7774428207455996,0.3651652101664303,0.9512902010234224,0.8320680907117086,FALSE
levoglucosan,leaf,2731.25,-384.41666666666663,1578.1666666666679,132.50000000000014,0.8291099538857181,0.28204583289285057,0.9580311203861964,1.6263581802998615e-16,0.19859287837802708,0.24559513443974482,0.9728223458925759,0.3650004896260419,0.9974557918960908,0.5710282771670694,FALSE
leucine,leaf,117835.91666666664,-17307.916666666675,-44204.50000000003,5960.333333333396,0.5895897360961226,0.09798084495194835,0.895269074168201,1.7745011417396768e-16,-0.5000075736677008,0.0019015694508858587,0.9405884020102145,0.16742357972371757,0.9909896670037948,0.07322161371682673,FALSE
lactulose,leaf,17128.333333333325,-9539.333333333323,-5824.083333333332,2600.5833333333285,0.3811605428422883,0.5114407234640266,0.8651589669149569,1.4921397139412993e-16,-0.12275658497439952,0.47569089331027203,0.9238408329976535,0.5961163399315806,0.9788897181942247,0.8320680907117086,FALSE
lactic acid,leaf,4309.25,-997.5833333333333,-984.1666666666684,621.6666666666688,0.22837182701114184,0.1476295177749348,0.5921484485280109,1.590747595353412e-16,0.0025779540969134585,0.9880945332894053,0.922847743785305,0.22593734894250891,0.9512902010234224,0.9920616538896267,FALSE
isothreonic acid,leaf,8521.416666666668,-604.9166666666669,8032.500000000004,2174.1666666666647,0.7363826866024944,4.339131461991198e-6,0.3945285531655318,1.7010405754998477e-16,-0.2216535650361383,0.19386948319886085,0.9405884020102145,5.237180482593993e-5,0.9512902010234224,0.5447836655573859,FALSE
isoribose,leaf,2538.8333333333344,-341.00000000000057,-646.5833333333348,285.58333333333513,0.6170001538814678,0.24952543566275076,0.7668174493134999,1.7381244929303354e-16,0.09578773972683675,0.5783996683482959,0.9405884020102145,0.3352402799743827,0.9512902010234224,0.8320680907117086,FALSE
isoleucine,leaf,266987.74999999994,-74252.08333333326,-175788.5,42107.500000000044,0.07878309631573928,9.19285169858924e-6,0.47183640570018015,1.4859964806733146e-16,-0.4763797995088826,0.0033131276681095372,0.7774428207455996,8.51548367869319e-5,0.9512902010234224,0.07322161371682673,FALSE
isohexonic acid,leaf,346.99999999999983,91.66666666666652,516.2500000000001,-249.4166666666667,0.5203857657841986,8.870041404625247e-5,0.22021310082783305,1.7956754141192016e-16,-0.16265314608650067,0.343226633084198,0.9405884020102145,5.575454597193013e-4,0.9512902010234224,0.694343533595619,FALSE
isocitric acid,leaf,46850.333333333336,7474.499999999988,22276.41666666666,-5884.083333333327,0.37095018425484305,0.0023027800900689336,0.6169265121100507,1.9551540019397674e-16,0.22915585114165773,0.1788252028118841,0.9238408329976535,0.008443526996919424,0.9512902010234224,0.5245539282481934,FALSE
inulotriose,leaf,262.9999999999999,-77.49999999999996,385.5833333333333,139.0833333333335,0.7966572323215007,0.12319346173148484,0.7437561897871028,1.5976440267976656e-16,0.06463316978749738,0.7080287054825831,0.9538209040039736,0.19891788316276451,0.9512902010234224,0.874419696253989,FALSE
inositol-4-monophosphate,leaf,340.0000000000001,-1.5000000000003315,416.3333333333331,-103.66666666666634,0.9906748914230417,3.461573382959e-4,0.568886216177085,1.7295049850027002e-16,0.1491726075499285,0.38521844971339025,0.9994467102546782,0.0017406769011450972,0.9512902010234224,0.7533160794395187,FALSE
hypoxanthine,leaf,4137.750000000001,958.9166666666638,5599.083333333333,-3654.416666666667,0.46404390913243687,8.307737867293482e-6,0.054381859339536605,1.5870650320622229e-16,-0.36029212022298474,0.030885721461709852,0.9405884020102145,8.123121470242516e-5,0.9512902010234224,0.17617878090616998,FALSE
hydroxylamine,leaf,182552.75000000003,-43836.75000000002,-52702.41666666678,24498.75000000015,0.3897047288171912,0.20837260742449715,0.7326547809849966,1.4698623138840028e-16,0.18609537463257736,0.2771722010824702,0.9238408329976535,0.29182338851928097,0.9512902010234224,0.5949061876892043,FALSE
hydroxycarbamate NIST,leaf,5205.750000000005,449.2499999999984,430.2500000000001,-214.24999999999906,0.6261673909928065,0.5680171899372058,0.869302269033721,1.6401492180272849e-16,-0.06965148489222928,0.6864693559895891,0.9405884020102145,0.6534053949604459,0.9788897181942247,0.8653333083694629,FALSE
