metabolite,estimate_trt_(Intercept),estimate_trt_trtlive,estimate_trt_genotypeR500,estimate_trt_trtlive:genotypeR500,p.value_trt_trtlive,p.value_trt_genotypeR500,p.value_trt_trtlive:genotypeR500,estimate_leaf_(Intercept),estimate_leaf_value_scale,p.value_leaf_value_scale,tissue,FDR_trt_trtlive,FDR_trt_genotypeR500,FDR_trt_trtlive:genotypeR500,FDR_leaf_value_scale,sig.both
met_per_mg_leaf_quinic acid,20.062396829133228,8.635622707153395,-15.22238913042265,-3.848491498554221,0.12231629922622983,0.0016979139776377636,0.6203961506768421,1.6345183480099925e-16,-0.055397752270490784,0.748284234879323,leaf,0.9281005133196085,0.008076563785520173,0.889684930324576,0.9000220854524918,FALSE
met_per_mg_leaf_pyruvic acid,329.87796851858747,-38.213026588556545,-220.5747277000874,23.99612095132667,0.646592340393141,0.00256057955377401,0.8384617071311422,1.9073835063457926e-16,0.20402603698227115,0.23265082796148026,leaf,0.9281005133196085,0.011266550036605646,0.9837950697005402,0.6204022078972806,FALSE
met_per_mg_leaf_pyrrole-2-carboxylic acid,42.13410092001765,1.3688301870585637,229.5605336968001,-192.13968880899628,0.9862085040103965,0.001125985134821919,0.09341549527241842,1.717177193871363e-16,-0.45340356482840566,0.005483571363606841,leaf,0.9941416445800659,0.005828628933195816,0.5833595832619678,0.1456845971615751,FALSE
met_per_mg_leaf_putrescine,165.70282562786954,-9.70599087079713,-88.46791111645067,-11.598050292705373,0.7554138395937133,0.0013650322586425854,0.7923450809209256,2.0884684357732624e-16,-0.23875834588690809,0.16080487047472636,leaf,0.9281005133196085,0.00667349104225264,0.9617429947729855,0.5053867357777114,FALSE
met_per_mg_leaf_pseudo uridine,19.49474168227624,0.4095541802343327,7.522089918891438,-9.671301917811222,0.9473762022990788,0.14435737195440052,0.2749451108334317,1.7666961810505628e-16,-0.4140075397558407,0.012067954811008435,leaf,0.9941416445800659,0.2254179787289235,0.6100792485454674,0.19748548567024632,FALSE
"met_per_mg_leaf_propane-1,3-diol NIST",56.5329623722732,-19.48949476530413,-17.86574585007055,15.087867615895693,0.11300966796405743,0.07666057568704651,0.3790446495525819,1.529414049174546e-16,0.05321472880937549,0.7579007855553286,leaf,0.9281005133196085,0.14658870889643338,0.7251288947962437,0.9000220854524918,FALSE
met_per_mg_leaf_proline,3935.561665198462,-492.96764557134827,4643.72031679288,-5305.014641913859,0.8204714899035334,0.012713892628171217,0.09126899505172761,1.6213075023950243e-16,0.12465329700141388,0.46884658819957004,leaf,0.9516208375751817,0.040684456410147896,0.5833595832619678,0.8169999952784587,FALSE
met_per_mg_leaf_phytol,98.88501088504279,27.628964386761716,34.08579251606954,-93.89261721638263,0.21597098006430485,0.06549758812687417,0.004771141173658237,1.5903393574058715e-16,-0.028902973728065197,0.8671085052312868,leaf,0.9281005133196085,0.13595770321140227,0.5833595832619678,0.9362643982865427,FALSE
met_per_mg_leaf_phosphate,254.64032914658506,115.95293700149774,1346.011932086834,-569.637912325643,0.6595166438952771,4.279354108187419e-7,0.13221481441923588,1.7046113160588975e-16,0.05872891940870931,0.7336821871300472,leaf,0.9281005133196085,1.2552772050683095e-5,0.5833595832619678,0.9000220854524918,FALSE
met_per_mg_leaf_phenylpyruvate,39.44032669096373,8.011370361244973,-12.213956682921081,-17.658408278294626,0.2256304031634902,0.027679061463657475,0.06307164327521834,1.4933666595548823e-16,-0.09399599386309516,0.5855595993708049,leaf,0.9281005133196085,0.07381083056975327,0.5833595832619678,0.8733770295700142,FALSE
