metabolite,p.value.trt,p.value.leaf,tissue,FDR.trt,FDR.leaf,sig.both
met_amt_root_guanine,0.9920634780696956,1.9575981095226695e-4,root,0.9920634780696956,0.017226863363799493,FALSE
met_amt_root_glycyl tyrosine,0.5647594572868989,0.3338545647618434,root,0.7099833177321014,0.8049096355901977,FALSE
met_amt_root_glycolic acid,0.22334572209019218,0.5217031110671834,root,0.4094671571653523,0.8839575474935791,FALSE
met_amt_root_glycine,0.037259318498980794,0.4415202440200542,root,0.16632799507618454,0.8719191848981741,FALSE
met_amt_root_glycerol-alpha-phosphate,0.07059059043917691,0.11177037484786362,root,0.23441403617537995,0.6040283655239784,FALSE
met_amt_root_glycerol-3-galactoside,0.08966088128338712,0.41639523692302116,root,0.2711369878358472,0.8595587894449167,FALSE
met_amt_root_glycerol,0.9405224840545663,0.23049528326113422,root,0.9529917564918173,0.7284960531581033,FALSE
met_amt_root_glyceric acid,0.4255120827215082,0.5043321775032681,root,0.6262286163917984,0.8839575474935791,FALSE
met_amt_root_glutamine,0.471902052499808,0.9111487942911893,root,0.6438353584493505,0.94888868517899,FALSE
met_amt_root_glutamic acid,0.5741753521202021,0.6679503865536685,root,0.7116539575574335,0.9014403989953399,FALSE
met_amt_root_glucose-6-phosphate,0.012427746025857426,0.016257224989567293,root,0.09245970256334209,0.20437654272598882,FALSE
met_amt_root_glucose-1-phosphate,0.9075485606765393,0.13431098373554326,root,0.9451393294619581,0.6566314760404338,FALSE
met_amt_root_glucose,0.033167714260778657,0.19498683795074495,root,0.16632799507618454,0.7031651166130178,FALSE
met_amt_root_gluconic acid lactone,0.7960153579620897,0.1523599852565336,root,0.8980686089828703,0.6697544631386215,FALSE
met_amt_root_gluconic acid,0.034894025635182485,0.014862624761812373,root,0.16632799507618454,0.2012170736983829,FALSE
met_amt_root_glucoheptulose,0.5186783470620804,0.35653725973293326,root,0.6863713464881664,0.8159561376968316,FALSE
met_amt_root_galactonic acid,0.37551320213753403,0.9821230923854505,root,0.568001624397316,0.9877352243419388,FALSE
met_amt_root_galactinol,0.7723822483400221,0.0029270627621842825,root,0.8827225695314538,0.1717210153814779,FALSE
met_amt_root_fumaric acid,0.8596634627169539,0.24967375864337246,root,0.9260167986773578,0.7284960531581033,FALSE
met_amt_root_fucose,0.09602416453576186,0.12929273859766333,root,0.27705332718514897,0.6501577712339641,FALSE
met_amt_root_fructose-6-phosphate,0.030897392131104442,0.010749329255657783,root,0.16632799507618454,0.2012170736983829,FALSE
met_amt_root_fructose,0.5704830148745048,0.7768262948723066,root,0.7116539575574335,0.9215475387614225,FALSE
met_amt_root_ferulic acid,0.2445879820838426,0.5881256343498109,root,0.4322587819785536,0.8895408643623512,FALSE
met_amt_root_ethanolamine,0.1529055027742624,0.594788490778067,root,0.33110738058770883,0.8895408643623512,FALSE
met_amt_root_erythrose,0.19051540117781793,0.6505982470676597,root,0.3767495573853478,0.9014403989953399,FALSE
met_amt_root_erythronic acid lactone,0.13637701055433213,0.5965358659978626,root,0.31811509442735836,0.8895408643623512,FALSE
met_amt_root_erythronic acid,0.006739904436778978,0.1996184620234494,root,0.07908154539154,0.7031651166130178,FALSE
met_amt_root_erythritol,0.10051717108153695,0.9580536710353074,root,0.2804449272246781,0.9818169565528315,FALSE
met_amt_root_epsilon-caprolactam,0.1104992732666326,0.5163558139921876,root,0.29466472871102023,0.8839575474935791,FALSE
met_amt_root_dihydroxyacetone,0.09820899139976678,0.8070421873765206,root,0.2787868142961122,0.9223339284303091,FALSE
met_amt_root_dehydroascorbic acid,0.012608141258637557,0.09314378784763298,root,0.09245970256334209,0.5563967527758842,FALSE
met_amt_root_dehydroabietic acid,0.09089251296769878,0.7408405133227776,root,0.2711369878358472,0.9215475387614225,FALSE
met_amt_root_cyano-l-alanine,7.507148001122872e-4,0.00723504289334314,root,0.04404193493992085,0.2012170736983829,FALSE
met_amt_root_cyanoalanine,4.2613495450902683e-4,0.013171499551202913,root,0.03749987599679436,0.2012170736983829,FALSE
met_amt_root_coniferin NIST,0.7550115846742051,0.6673350618516845,root,0.8742239401490797,0.9014403989953399,FALSE
met_amt_root_citric acid,0.0026661608935550705,0.27400369939950153,root,0.07487958094546512,0.7306765317320041,FALSE
met_amt_root_citramalic acid,0.007941263278928645,0.7546669471908208,root,0.0822154315936142,0.9215475387614225,FALSE
met_amt_root_cis-sinapinic acid,0.217022721368272,0.6267219726189293,root,0.4020631469559565,0.8895408643623512,FALSE
met_amt_root_cis-caffeic acid,0.7654728409420426,0.20775332990839163,root,0.8805439216065326,0.7031651166130178,FALSE
met_amt_root_chlorogenic acid,0.12541906906340827,0.7628355893821739,root,0.31811509442735836,0.9215475387614225,FALSE
met_amt_root_cellobiose,0.18852931014825397,0.80104178459730635,root,0.3767495573853478,0.9215475387614225,FALSE
met_amt_root_capric acid,0.11867999772671392,0.779184700458417,root,0.3071717588220831,0.9215475387614225,FALSE
met_amt_root_butyrolactam NIST,0.89419499659752,0.645586358503456,root,0.9451393294619581,0.9014403989953399,FALSE
met_amt_root_beta-sitosterol,0.019580455662734506,0.5118193075634906,root,0.13254462294774128,0.8839575474935791,FALSE
met_amt_root_beta-gentiobiose,0.18338709380896392,0.00827970398362866,root,0.3709899828779041,0.2012170736983829,FALSE
met_amt_root_beta-alanine,0.5355402125330222,0.756329043536534,root,0.6879932657358533,0.9215475387614225,FALSE
met_amt_root_benzoic acid,0.050131510653358385,0.3751342024652482,root,0.19490222741441637,0.8252952454235462,FALSE
met_amt_root_aspartic acid,0.35320513937496756,0.6552076011856455,root,0.5551639657007146,0.9014403989953399,FALSE
met_amt_root_asparagine,0.5038859240884306,0.11777993891441176,root,0.6718478987845741,0.609684389674602,FALSE
met_amt_root_aminomalonate,0.03220820517786249,0.8143002630925085,root,0.16632799507618454,0.9246248148663322,FALSE
met_amt_root_alpha-ketoglutarate,0.45468781847885176,0.012604769378158883,root,0.635119492478396,0.2012170736983829,FALSE
met_amt_root_alpha-aminoadipic acid,0.09495337010063283,0.8617765932726623,root,0.27705332718514897,0.934168347059771,FALSE
met_amt_root_allantoic acid,0.6485453961555425,0.5740152769977522,root,0.7926665953012187,0.8895408643623512,FALSE
met_amt_root_alanine-alanine,0.46524808945710017,0.18066446895341332,root,0.6438353584493505,0.6912379681695814,FALSE
met_amt_root_alanine,0.4311301933727061,0.03687051556789305,root,0.6262286163917984,0.34153740736574617,FALSE
met_amt_root_adenosine,0.9048679864183339,0.28042286448613457,root,0.9451393294619581,0.7366331962620849,FALSE
met_amt_root_adenine,0.6766671950060419,0.16257937447558085,root,0.81426213445808715,0.6697544631386215,FALSE
met_amt_root_aconitic acid,0.0035320274567917347,0.36960161698764216,root,0.07487958094546512,0.8234162606306964,FALSE
met_amt_root_6-deoxyglucose,0.1415417049732568,0.10578281035405658,root,0.3235238970817298,0.6005733749133535,FALSE
met_amt_root_5'-deoxy-5'-methylthioadenosine,0.9339064235886387,0.4687776977675622,root,0.9529917564918173,0.8719191848981741,FALSE
met_amt_root_5-aminovaleric acid,0.21034193337539336,0.3492341574294294,root,0.3980664545598842,0.8159561376968316,FALSE
met_amt_root_4-hydroxybutyric acid,0.19916237747758553,0.3923304319035965,root,0.38917768174280565,0.8524710619139875,FALSE
met_amt_root_4-hydroxybenzoate,0.004471125007366636,0.6166458174316627,root,0.07487958094546512,0.8895408643623512,FALSE
met_amt_root_4-aminobutyric acid,0.001334557227121614,0.25842397955796,root,0.052563196722446574,0.7284960531581033,FALSE
met_amt_root_3-hydroxypropionic acid,0.07506910325371259,0.8433347540915536,root,0.2402211304118803,0.9335026208812165,FALSE
met_amt_root_3-hydroxy-3-methylglutaric acid,0.022467863010216627,0.6073073369239486,root,0.14645718110363432,0.8895408643623512,FALSE
met_amt_root_3-aminoisobutyric acid,0.8369533269118035,0.83067484217154,root,0.9134553087813956,0.9253086849505762,FALSE
"met_amt_root_3,4-dihydroxycinnamic acid",0.05306370739873887,0.7974623393239548,root,0.1971329080975155,0.9215475387614225,FALSE
met_amt_root_2-ketoisocaproic acid,0.0260092710752513,0.6229836653264124,root,0.16348684675872244,0.8895408643623512,FALSE
met_amt_root_2-ketoglucose dimethylacetal NIST,0.008485391819728905,0.5273610368569648,root,0.08296827557068263,0.8839575474935791,FALSE
met_amt_root_2-hydroxyglutaric acid,0.6622262398527928,0.4200116812060388,root,0.8038056428558037,0.8595587894449167,FALSE
met_amt_root_2'-deoxyguanosine,0.4315069678024137,0.1967709608396705,root,0.6262286163917984,0.7031651166130178,FALSE
met_amt_root_2-aminobutyric acid,0.3346845490473016,0.8262393710871511,root,0.5454118577067137,0.9253086849505762,FALSE
"met_amt_root_2,5-dihydroxypyrazine NIST",0.8702350435292678,0.6760802992465049,root,0.9282507130978856,0.9014403989953399,FALSE
"met_amt_root_2,3-dihydroxybutanoic acid NIST",0.4973654316149675,0.4194477902849134,root,0.668216152398735,0.8595587894449167,FALSE
met_amt_root_1-monostearin,0.14994112010968266,0.5496950952860791,root,0.33110738058770883,0.8895408643623512,FALSE
met_amt_root_1-monopalmitin,0.042472399224115116,0.8717548619999316,root,0.18232054301083564,0.934168347059771,FALSE
met_amt_root_1-methylgalactose NIST,0.8337239456111807,0.25270561412334624,root,0.9134553087813956,0.7284960531581033,FALSE
met_amt_root_1-kestose,0.6842599590373648,0.8748775508552011,root,0.81426213445808715,0.934168347059771,FALSE
