name,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust,value
leaf.voom5.module_darkmagenta,coldKilian_2013_shoot_FC_up,1.340498454464668e-4,0.9999521607119369,22,2108,7.908940881341543e-4,NA
leaf.voom5.module_darkmagenta,coldKilian_2013_root_FC_down,4.105337933206281e-4,0.999833953917957,24,2739,0.0022019539823560958,NA
leaf.voom5.module_darkmagenta,heat_Kilian_2013_shoot_FC_up,5.443646700746762e-4,0.999861491217503,11,837,0.002676459627867158,NA
leaf.voom5.module_darkmagenta,heat_Kilian_2013_root_FC_up,8.203482120908642e-4,0.9997654869625086,12,1021,0.0035371370491127144,NA
leaf.voom5.module_darkmagenta,minusMg_Niu_2016_root_FC_down,8.393206557216611e-4,0.9998305802569659,8,489,0.0035371370491127144,NA
leaf.voom5.module_darkmagenta,minusFe_Kailasam2019_root_FC_down,0.0010914916342980173,0.9995985347890517,17,1790,0.004293200428238868,NA
leaf.voom5.module_darkmagenta,minusMg_Niu_2016_shoot_FC_down,0.0015649827965421607,0.9992007302762984,35,4416,0.0057708740622492176,NA
leaf.voom5.module_darkmagenta,minusK_Nishida_2017_root_FC_down,0.0023217481547555237,0.9993910869733121,9,755,0.008057831831210347,NA
leaf.voom5.module_darkmagenta,coldKilian_2013_shoot_FC_down,0.0025666557713944077,0.9988945987288206,20,2179,0.008412927250681669,NA
leaf.voom5.module_darkmagenta,minusPi_3d_Liu_2016_root_FC_up,0.014434971240506685,0.9934512382490998,15,2006,0.044824384378415495,NA
leaf.voom5.module_darkolivegreen,minusMg_Niu_2016_shoot_FC_up,1.7109835402449744e-15,1,61,4969,1.0094802887445349e-13,NA
leaf.voom5.module_darkolivegreen,plusMg_Niu_2016_shoot_FC_up,1.7939223290864323e-14,1,42,2479,5.292070870804975e-13,NA
leaf.voom5.module_darkolivegreen,minusPi_3d_Liu_2016_shoot_FC_up,4.963317170850091e-11,1,34,2071,9.761190436005179e-10,NA
leaf.voom5.module_darkolivegreen,minusFe_Kailasam2019_shoot_FC_up,4.672398092424575e-6,0.9999990315963105,15,850,6.891787186326249e-5,NA
leaf.voom5.module_darkolivegreen,minusPi_1d_Liu_2016_shoot_FC_up,2.1114489084392795e-5,0.9999931995256682,23,1811,2.49150971195835e-4,NA
leaf.voom5.module_darkolivegreen,coldKilian_2013_root_FC_up,1.9200159417979382e-4,0.9999396148581058,17,1434,0.001888015676101306,NA
leaf.voom5.module_darkolivegreen,heat_Kilian_2013_root_FC_down,7.478844150842715e-4,0.9996785008535283,25,2636,0.004943742628006978,NA
leaf.voom5.module_darkolivegreen,heat_Kilian_2013_shoot_FC_down,7.527801406417064e-4,0.9997011327343983,21,1900,0.004943742628006978,NA
leaf.voom5.module_darkolivegreen,minusFe_Kailasam2019_root_FC_up,7.54130231390895e-4,0.999773911286918,13,1093,0.004943742628006978,NA
leaf.voom5.module_darkolivegreen,minusN_Nishida_2017_root_FC_up,0.004064385848115049,0.9981759556669255,20,2313,0.02397987650387879,NA
leaf.voom5.module_darkorange,coldKilian_2013_shoot_FC_down,1.6735390157013032e-6,0.9999994499214119,30,2179,9.873880192637688e-5,NA
leaf.voom5.module_darkorange,minusMg_Niu_2016_shoot_FC_down,1.9222538345392075e-5,0.9999914563221465,45,4416,5.670648811890662e-4,NA
leaf.voom5.module_darkorange,minusPi_1d_Liu_2016_shoot_FC_up,9.251286140583944e-4,0.9996238321410195,21,1811,0.014322810293993833,NA
leaf.voom5.module_darkorange,plusMg_Niu_2016_shoot_FC_down,0.0012390994944411514,0.9995085163464463,19,1640,0.014322810293993833,NA
leaf.voom5.module_darkorange,coldKilian_2013_root_FC_down,0.0014407123228657231,0.9993342775829012,26,2739,0.014322810293993833,NA
leaf.voom5.module_darkorange,minusPi_3d_Liu_2016_shoot_FC_up,0.0014565569790502201,0.9993721239134438,22,2071,0.014322810293993833,NA
leaf.voom5.module_darkorange,heat_Kilian_2013_shoot_FC_down,0.0020618691653368363,0.9991041757810224,21,1900,0.017378611536410477,NA
leaf.voom5.module_darkorange,coldKilian_2013_shoot_FC_up,0.006692093727936672,0.9968353583164586,20,2108,0.049354191243532956,NA
leaf.voom5.module_darkorange2,minusMg_Niu_2016_shoot_FC_up,1.2108091192461753e-11,1,39,4969,7.143773803552434e-10,NA
leaf.voom5.module_darkorange2,heat_Kilian_2013_shoot_FC_up,4.208515498425867e-5,0.999992924282319,10,837,0.0012415120720356307,NA
leaf.voom5.module_darkorange2,minusN_Peng_2007_whole_FC_up,1.9445016636086102e-4,0.9999736054197893,7,483,0.0031464923359647142,NA
leaf.voom5.module_darkorange2,heat_Kilian_2013_root_FC_up,2.133215143026925e-4,0.9999561864425495,10,1021,0.0031464923359647142,NA
leaf.voom5.module_darkorange2,coldKilian_2013_shoot_FC_up,0.0020068115360435254,0.9993390511816477,13,2108,0.0236803761253136,NA
leaf.voom5.module_darkred,minusPi_3d_Liu_2016_shoot_FC_up,5.366092344301579e-50,1,93,2071,3.165994483137932e-48,NA
leaf.voom5.module_darkred,plusMg_Niu_2016_shoot_FC_up,3.054547014948514e-45,1,94,2479,9.010913694098118e-44,NA
leaf.voom5.module_darkred,minusMg_Niu_2016_shoot_FC_up,4.3878605744289305e-38,1,116,4969,8.629459129710231e-37,NA
leaf.voom5.module_darkred,minusPi_1d_Liu_2016_shoot_FC_up,2.6252247520053127e-34,1,73,1811,3.8722065092078365e-33,NA
leaf.voom5.module_darkred,minusFe_Kailasam2019_shoot_FC_up,3.408224352856178e-15,1,32,850,4.0217047363702906e-14,NA
leaf.voom5.module_darkred,minusK_Nishida_2017_root_FC_up,1.936363859806618e-13,1,37,1291,1.9040911288098413e-12,NA
leaf.voom5.module_darkred,coldKilian_2013_shoot_FC_up,1.1948321488286566e-12,1,46,2108,1.007072811155582e-11,NA
leaf.voom5.module_darkred,coldKilian_2013_root_FC_up,1.048392390149677e-11,1,36,1434,7.731893877353868e-11,NA
leaf.voom5.module_darkred,minusPi_3d_Liu_2016_root_FC_up,3.4392788442957367e-10,1,39,2006,2.2546383534827607e-9,NA
leaf.voom5.module_darkred,heat_Kilian_2013_root_FC_down,1.192973898105252e-9,1,48,2636,7.0385459988209874e-9,NA
leaf.voom5.module_darkred,plusMg_Niu_2016_root_FC_down,7.234129364715916e-9,0.9999999988555244,21,745,3.880123931983991e-8,NA
leaf.voom5.module_darkred,heat_Kilian_2013_shoot_FC_down,8.063711670548116e-7,0.999999718862986,35,1900,3.6756898435624416e-6,NA
leaf.voom5.module_darkred,minusFe_Kim2019_shoot_FC_up,8.09897762140877e-7,0.9999999548524262,7,67,3.6756898435624416e-6,NA
leaf.voom5.module_darkred,minusFe_Kailasam2019_root_FC_up,1.146522812241558e-6,0.9999996876494313,23,1093,4.8317747087322805e-6,NA
leaf.voom5.module_darkred,minusMn_Rodriguez-Celma_2016_root_FC_up,8.5972578114929e-5,0.999977983388628,14,625,3.38158807252054e-4,NA
leaf.voom5.module_darkred,coldKilian_2013_shoot_FC_down,6.677274047470184e-4,0.9996918106976138,29,2179,0.0024622448050046304,NA
leaf.voom5.module_darkred,minusFe_Kim2019_root_FC_up,0.0043076799627275045,0.9994760865893956,4,88,0.01495018340005428,NA
leaf.voom5.module_darkred,minusPi_1d_Liu_2016_root_FC_up,0.005402953495212288,0.9980442275546073,12,834,0.01770968090097361,NA
leaf.voom5.module_darkred,plusAl_Ligaba-OSena_2017_shoot_FC_up,0.008167340110053883,0.9984373282720704,5,163,0.025361740341746267,NA
leaf.voom5.module_darkred,minusPi_1d_Liu_2016_shoot_FC_down,0.015427042490217695,0.9941836161734363,10,701,0.0455097753461422,NA
leaf.voom5.module_darkred,heat_Kilian_2013_shoot_FC_up,0.017263906784078978,0.9930251542260007,11,837,0.0485033571552695,NA
leaf.voom5.module_darkseagreen4,minusPi_3d_Liu_2016_shoot_FC_up,0,1,29,2071,0,NA
