transcript_ID,wyo_leaf_R500_10_417_S65,wyo_leaf_R500_10_419_S66,wyo_leaf_R500_12_505_S68,wyo_leaf_R500_12_509_S67,wyo_leaf_R500_2_50_S9,wyo_leaf_R500_2_73_S10,wyo_leaf_R500_4_137_S11,wyo_leaf_R500_4_172_S12,wyo_leaf_R500_5_193_S13,wyo_leaf_R500_5_210_S14,wyo_leaf_R500_7_281_S15,wyo_leaf_R500_7_297_S16
BraA05g011260.3C,1.7137902693417735,0.19731768628501398,-0.06486549958714702,1.9888526157975375,-1.4470936993771473,0.6237073264622831,1.2232587563054855,1.1882158053267056,2.291525526176153,1.0220422798903257,0.9896388009704006,-1.3964337996195384
BraA05g011270.3C,3.187721457674186,2.5192457811723763,4.022597341663192,2.93226908743117,2.945223723401613,2.8253411876319334,3.545186851192848,2.468323724519441,3.985422398450473,3.168883668219597,3.060028128861799,3.1271281564374744
BraA05g011310.3C,3.4018462630270334,2.5192457811723763,2.742489422470457,2.375875738906785,3.0764682566798656,3.431062248519887,2.3227944298564003,3.335057193655977,2.727624640982826,2.6070047806114816,2.574601301691557,1.773491201822774
BraA05g011350.3C,0.12882776862061743,0.19731768628501398,-0.06486549958714702,-1.7115871023435545,1.550317949258484,2.208669827183439,1.2232587563054855,1.840292501906399,-1.7959373150741866,0.5366154527200842,0.9896388009704006,0.9254942952678239
BraA05g011410.3C,2.2443049860405533,2.071786804201155,1.520097001134009,1.7478445162937428,0.8748343955102151,1.471704233017233,0.7378319291352438,1.550785884711414,2.727624640982826,2.858543547607446,0.2526732068041944,1.4109211224380656
BraA05g011450.3C,1.3512201899570653,2.071786804201155,1.157526921749301,2.375875738906785,3.1967624903975773,1.761210850212218,1.5858288356901937,2.47959539821429,2.727624640982826,2.302150199083061,2.1271423247203356,2.691029041630801
BraA05g011460.3C,1.7137902693417735,0.19731768628501398,-0.06486549958714702,0.6103409925438077,0.8748343955102151,2.002218949716013,-1.5840961657521186,0.7027889781564641,1.0114176069834178,2.462614871276307,0.9896388009704006,2.0629978190177587
BraA05g011480.3C,2.7917927813430468,2.8602826990074433,2.0506117178327887,3.645964902274529,1.360261222680457,2.8253411876319334,3.460297953606335,2.9044228393261147,1.3739876863681255,3.50008957669497,2.755173547333378,1.773491201822774
BraA05g011510.3C,-1.4561347321005387,1.78228018700617,0.6721000945790588,2.536340411100031,2.640369141873192,1.1091341536325248,8.663349690377168e-4,1.1882158053267056,2.451990198369399,-0.20035014144612234,0.9896388009704006,0.18852870110161768
BraA05g011520.3C,2.839883559272336,3.23813765898234,3.9427707579674562,2.93226908743117,4.195431134376025,2.549706745018506,3.70130605311013,3.335057193655977,3.1582589953126883,4.078933438100347,2.3681504242241305,3.8370685395626474
