NAME,tissue_LorD_set,-log10 FDR q-val
root.violet,leaf_Dead,0
root.white,leaf_Dead,0
root.yellow,leaf_Dead,0
root.yellowgreen,leaf_Dead,0
leaf.bisque4,leaf_Dead,0
leaf.coral1,leaf_Dead,0
leaf.darkgreen,leaf_Dead,0
leaf.darkgrey,leaf_Dead,0
leaf.darkmagenta,leaf_Dead,0
leaf.darkorange,leaf_Dead,0
leaf.darkslateblue,leaf_Dead,0
leaf.floralwhite,leaf_Dead,0
leaf.grey,leaf_Dead,0
leaf.grey60,leaf_Dead,0
leaf.lavenderblush3,leaf_Dead,0
leaf.lightcyan,leaf_Dead,0
leaf.lightcyan1,leaf_Dead,0
leaf.lightgreen,leaf_Dead,0
leaf.magenta,leaf_Dead,0
leaf.mediumorchid,leaf_Dead,0
leaf.mediumpurple3,leaf_Dead,0
leaf.midnightblue,leaf_Dead,0
leaf.orange,leaf_Dead,0
leaf.orangered4,leaf_Dead,0
leaf.pink,leaf_Dead,0
leaf.plum,leaf_Dead,0
leaf.plum2,leaf_Dead,0
leaf.red,leaf_Dead,0
leaf.salmon,leaf_Dead,0
leaf.sienna3,leaf_Dead,0
leaf.skyblue1,leaf_Dead,0
leaf.skyblue2,leaf_Dead,0
leaf.thistle2,leaf_Dead,0
leaf.white,leaf_Dead,0
leaf.yellowgreen,leaf_Dead,0
root.bisque4,root_Live,0
root.black,root_Live,0
root.brown,root_Live,0
root.brown4,root_Live,0
root.cyan,root_Live,0
root.darkgreen,root_Live,0
root.darkgrey,root_Live,0
root.darkmagenta,root_Live,0
root.darkorange,root_Live,0
root.darkorange2,root_Live,0
root.darkslateblue,root_Live,0
root.darkturquoise,root_Live,0
root.floralwhite,root_Live,0
root.green,root_Live,0
root.grey,root_Live,0
root.grey60,root_Live,0
root.lightsteelblue1,root_Live,0
root.midnightblue,root_Live,0
root.orange,root_Live,0
root.orangered4,root_Live,0
root.paleturquoise,root_Live,0
root.pink,root_Live,0
root.plum1,root_Live,0
root.red,root_Live,0
root.saddlebrown,root_Live,0
root.salmon,root_Live,0
root.sienna3,root_Live,0
root.skyblue,root_Live,0
root.skyblue3,root_Live,0
root.steelblue,root_Live,0
root.tan,root_Live,0
root.turquoise,root_Live,0
root.violet,root_Live,0
root.white,root_Live,0
root.yellow,root_Live,0
root.yellowgreen,root_Live,0
leaf.bisque4,root_Live,0
leaf.coral1,root_Live,0
leaf.darkgreen,root_Live,0
leaf.darkgrey,root_Live,0
leaf.darkmagenta,root_Live,0
leaf.darkorange,root_Live,0
leaf.darkslateblue,root_Live,0
leaf.floralwhite,root_Live,0
leaf.grey,root_Live,0
leaf.grey60,root_Live,0
leaf.lavenderblush3,root_Live,0
leaf.lightcyan,root_Live,0
leaf.lightcyan1,root_Live,0
leaf.lightgreen,root_Live,0
leaf.magenta,root_Live,0
leaf.mediumorchid,root_Live,0
leaf.mediumpurple3,root_Live,0
leaf.midnightblue,root_Live,0
leaf.orange,root_Live,0
leaf.orangered4,root_Live,0
leaf.pink,root_Live,0
leaf.plum,root_Live,0
leaf.plum2,root_Live,0
leaf.red,root_Live,0
leaf.salmon,root_Live,0
leaf.sienna3,root_Live,0
leaf.skyblue1,root_Live,0
leaf.skyblue2,root_Live,0
leaf.thistle2,root_Live,0
leaf.white,root_Live,0
leaf.yellowgreen,root_Live,0
root.bisque4,root_Dead,0
root.black,root_Dead,0
root.brown,root_Dead,0
root.brown4,root_Dead,0
root.cyan,root_Dead,0
root.darkgreen,root_Dead,0
root.darkgrey,root_Dead,0
root.darkmagenta,root_Dead,0
root.darkorange,root_Dead,0
root.darkorange2,root_Dead,0
root.darkslateblue,root_Dead,0
root.darkturquoise,root_Dead,0
root.floralwhite,root_Dead,0
root.green,root_Dead,0
root.grey,root_Dead,0
root.grey60,root_Dead,0
root.lightsteelblue1,root_Dead,0
root.midnightblue,root_Dead,0
root.orange,root_Dead,0
root.orangered4,root_Dead,0
root.paleturquoise,root_Dead,0
root.pink,root_Dead,0
root.plum1,root_Dead,0
root.red,root_Dead,0
root.saddlebrown,root_Dead,0
root.salmon,root_Dead,0
root.sienna3,root_Dead,0
root.skyblue,root_Dead,0
root.skyblue3,root_Dead,0
root.steelblue,root_Dead,0
root.tan,root_Dead,0
root.turquoise,root_Dead,0
root.violet,root_Dead,0
root.white,root_Dead,0
root.yellow,root_Dead,0
root.yellowgreen,root_Dead,0
leaf.bisque4,root_Dead,0
leaf.coral1,root_Dead,0
leaf.darkgreen,root_Dead,0
leaf.darkgrey,root_Dead,0
leaf.darkmagenta,root_Dead,0
leaf.darkorange,root_Dead,0
leaf.darkslateblue,root_Dead,0
leaf.floralwhite,root_Dead,0
leaf.grey,root_Dead,0
