query_id	diff
Brara.C03441	-0.4903496056343999
Brara.C03550	-0.33913091288203706
Brara.C03755	-1.2607898639828878
Brara.C03926	0.4175501193661234
Brara.C04007	-0.29371979249326874
Brara.C04084	-0.14097712681996766
Brara.C04145	0.05190577296747254
Brara.C04316	0.7111994374448602
Brara.C04449	0.2818415314527155
Brara.K01189	-0.022466945598352314
Brara.C04470	-0.16472454456788152
Brara.C04537	0.3368150852506602
Brara.K00470	0.11095726840094076
Brara.K00443	0.7685934220704871
Brara.K01792	-0.05224832686510296
Brara.K01807	0.10402989958238645
Brara.C04644	1.0730115609351292
Brara.K00722	0.9893822517161621
Brara.K00145	-0.06406316768864644
Brara.K00037	0.10562577930676048
Brara.K00991	-0.1944932323929997
Brara.K00853	0.4940161555119149
Brara.K00838	0.4938530251661726
