genes,trt,mean.value,root.voom5.module,query_id
BraA02g024390.3C,live,-0.3912569467951211,yellowgreen,BRARA.B02290-MONOMER
BraA02g024490.3C,dead,0.21871467194524902,yellowgreen,BRARA.B02300-MONOMER
BraA02g024490.3C,live,-0.21871467194524905,yellowgreen,BRARA.B02300-MONOMER
BraA02g024520.3C,dead,0.06515180704569883,lightyellow,BRARA.B02303-MONOMER
BraA02g024520.3C,live,-0.06515180704569876,lightyellow,BRARA.B02303-MONOMER
BraA02g024790.3C,dead,-0.07802104047107354,red,BRARA.B02331-MONOMER
BraA02g024790.3C,live,0.0780210404710736,red,BRARA.B02331-MONOMER
BraA02g024910.3C,dead,-0.00503221670143325,red,BRARA.B02343-MONOMER
BraA02g024910.3C,live,0.005032216701433255,red,BRARA.B02343-MONOMER
BraA02g025910.3C,dead,0.16988069322731672,paleturquoise,BRARA.B02498-MONOMER
BraA02g025910.3C,live,-0.1698806932273168,paleturquoise,BRARA.B02498-MONOMER
BraA02g025930.3C,dead,0.013805529518159151,red,BRARA.B02501-MONOMER
BraA02g025930.3C,live,-0.013805529518159148,red,BRARA.B02501-MONOMER
BraA02g026380.3C,dead,-0.010585287822047346,midnightblue,BRARA.B02565-MONOMER
BraA02g026380.3C,live,0.01058528782204728,midnightblue,BRARA.B02565-MONOMER
BraA02g026690.3C,dead,0.09003579904101587,red,BRARA.B02542-MONOMER
BraA02g026690.3C,live,-0.09003579904101586,red,BRARA.B02542-MONOMER
BraA02g028180.3C,dead,0.05489781903498782,midnightblue,BRARA.B02699-MONOMER
BraA02g028180.3C,live,-0.05489781903498783,midnightblue,BRARA.B02699-MONOMER
BraA02g028510.3C,dead,0.0410319772399834,midnightblue,BRARA.B02749-MONOMER
BraA02g028510.3C,live,-0.04103197723998337,midnightblue,BRARA.B02749-MONOMER
BraA02g028950.3C,dead,-0.1735525551562498,lightyellow,BRARA.B02534-MONOMER
BraA02g028950.3C,live,0.1735525551562497,lightyellow,BRARA.B02534-MONOMER
BraA02g030540.3C,dead,-0.22871620587254893,paleturquoise,BRARA.B02445-MONOMER
BraA02g030540.3C,live,0.22871620587254893,paleturquoise,BRARA.B02445-MONOMER
BraA02g030820.3C,dead,0.019814516683642838,midnightblue,BRARA.B02422-MONOMER
BraA02g030820.3C,live,-0.0198145166836428,midnightblue,BRARA.B02422-MONOMER
BraA02g034550.3C,dead,-0.021449688445868458,paleturquoise,MONOMER4K-545
