ID	PC	value
Brara.A03577		0.8682796644224495
Brara.A03622		0.6223874458835378
Brara.A03736		0.23818764206927356
Brara.A03799		-0.36386216438516056
Brara.A03934		-0.09385928957827375
Brara.B00132		-0.13038767951275865
Brara.B00172		-0.6135366626156905
Brara.B00341		0.48881686483054554
Brara.B00380		0.634277758570226
Brara.B00450		0.47121072496641886
Brara.B00585		-0.04912659630672577
Brara.B00648		0.15817743986114585
Brara.B00652		0.06581106745516592
Brara.B00664		-0.14677048676017773
Brara.B00745		0.07739854084987942
Brara.B00831		0.16609190975458618
Brara.B00910		-0.410928088858862
Brara.B00918		-0.03151901593007382
Brara.B01021		0.07984439980329983
Brara.B01093		0.030718455428274737
Brara.B01097		0.3542585971659647
Brara.B01139		-0.14867562555122202
Brara.B01140		0.09280235546469986
Brara.B01291		0.7535613957459335
Brara.B01364		-0.0186162795403962
Brara.B01382		-0.007619661982736101
Brara.B01555		0.21255128996071793
Brara.B01717		-0.010155643591980852
Brara.B01759		-0.005967668109512728
Brara.B01925		0.015180179892811747
Brara.B02007		0.06958271823971643
Brara.B02126		-0.13215248045887765
Brara.B02247		0.07697762827591306
Brara.B02193		1.0428926558956861
Brara.B02290		0.9447672192165165
Brara.B02300		0.48616852042899195
Brara.B02303		0.024274532619369696
Brara.B02331		-0.30623778438727983
Brara.B02343		0.14334737869035902
Brara.B02498		0.19102153678254102
Brara.B02501		0.02348042736713659
Brara.B02565		-0.11702127789373035
Brara.B02542		0.2246168293046793
Brara.B02699		0.0874394099759848
Brara.B02749		0.05705950406704552
Brara.B02534		-0.12771087092612593
Brara.B02445		-0.49536014621458935
Brara.B02422		-0.07566283093097745
Brara.B03324		-0.018219386885760837
Brara.B03336		0.5285766441526059
Brara.B03463		-0.1037281423687476
Brara.B03668		0.03529725414973964
Brara.B03727		-0.13115014661590615
Brara.B03850		0.019352949125586154
Brara.B03939		-0.012534733757948006
Brara.C00006		0.14914106522123782
Brara.C00189		0.3291829533025861
Brara.C00209		0.342332904814148
Brara.H01255		-0.19098258787302785
Brara.C00494		-0.3844704891771048
Brara.C00562		-0.005262404070036256
Brara.C00776		-0.11866790912886824
Brara.C01027		-0.03802792663107237
