InX.FDR0.001,NAME,value,category3.up_down,tissue3,FC,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust,InX
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.skyblue,NA,minusFe_down,root,FC,3.7526509299869156e-6,0.9999995891030902,9,243,1.3509543347952897e-4,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.turquoise,NA,minusMg_down,shoot,FC,4.652506579212386e-12,1,222,1024,1.674902368516459e-10,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.turquoise,NA,heat_down,shoot,FC,1.6231149441413662e-6,0.9999994624804867,74,237,2.921606899454459e-5,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.turquoise,NA,heat_down,root,FC,2.496234509967617e-5,0.9999856922290726,92,399,2.9954814119611406e-4,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.turquoise,NA,cold_down,root,FC,2.754928502726002e-4,0.9998258437498574,90,565,0.002479435652453402,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.turquoise,NA,minusPi_down,root,FC,3.638675270669253e-4,0.999869394800029,22,78,0.0026198461948818623,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.turquoise,NA,plusMg_up,shoot,FC,0.0026579061777739265,0.9983568961765898,59,304,0.01594743706664356,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.turquoise,NA,minusMg_up,shoot,FC,0.004897454811977858,0.9959996136127865,264,2044,0.025186910461600414,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.bisque4,NA,minusMg_up,shoot,FC,9.493230341919332e-17,1,179,3563,1e-10,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.bisque4,NA,plusMg_up,shoot,FC,4.775089891978299e-11,1,63,866,9.788934278555513e-10,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.bisque4,NA,minusK_up,root,FC,6.255037385303088e-5,0.9999812437711462,18,218,8.548551093247553e-4,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.bisque4,NA,heat_down,root,FC,4.018663367854415e-4,0.9997712526421332,54,1097,0.004119129952050776,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.bisque4,NA,plusN_up,root,FC,5.058335436192844e-4,0.9999977843918981,2,3,0.004147835057678131,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.bisque4,NA,minusPi_up,shoot,FC,0.002900382194771911,0.9984161846437919,34,675,0.019819278330941388,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.brown,NA,minusMg_up,shoot,FC,1.3434600463291009e-163,1,382,3563,1e-10,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.brown,NA,minusPi_down,shoot,FC,2.443274074838225e-158,1,220,923,1e-10,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.brown,NA,cold_up,shoot,FC,3.3366570621842863e-13,1,57,884,1e-10,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.brown,NA,plusMg_down,shoot,FC,9.674162848556045e-6,0.9999963360045752,31,642,9.916016919769946e-5,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.brown,NA,heat_up,shoot,FC,7.533301007536091e-4,0.9997021869746141,20,392,0.006177306826179594,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.brown4,NA,heat_down,shoot,FC,8.016637206483934e-6,0.9999983845913234,14,771,3.286821254658413e-4,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.brown4,NA,heat_down,root,FC,0.001267071448292396,0.999621551675378,12,1097,0.02597496468999412,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.coral1,NA,minusMg_up,shoot,FC,1.518313310602442e-42,1,165,3563,1e-10,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.coral1,NA,cold_up,shoot,FC,4.115859476877309e-30,1,71,884,1e-10,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.coral1,NA,minusPi_down,shoot,FC,4.6296773268146604e-27,1,62,923,1e-10,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.coral1,NA,heat_up,shoot,FC,2.575727628548726e-11,1,26,392,2.640120819262444e-10,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.coral1,NA,heat_down,root,FC,0.001008996382397292,0.999479051073033,35,1097,0.008273770335657795,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.coral2,NA,minusMg_up,shoot,FC,8.465043788193901e-30,1,171,3563,1e-10,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.coral2,NA,cold_down,root,FC,5.785549527168897e-10,1,59,1336,1.1860376530696238e-8,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.coral2,NA,plusMg_down,root,FC,1.0658161258486818e-8,0.9999999982974764,21,199,1.4566153719931983e-7,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.coral2,NA,cold_up,shoot,FC,1.3677786778482157e-6,0.9999994850127042,37,884,1.4019731447944211e-5,In02orless
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In02orless.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.coral2,NA,heat_up,shoot,FC,0.004433014190964042,0.9981591668222347,16,392,0.036350716365905145,In02orless
