metabolite,estimate_trt_(Intercept),estimate_trt_trtlive,estimate_trt_genotypeR500,estimate_trt_trtlive:genotypeR500,p.value_trt_trtlive,p.value_trt_genotypeR500,p.value_trt_trtlive:genotypeR500,estimate_leaf_(Intercept),estimate_leaf_value_scale,p.value_leaf_value_scale,tissue,FDR_trt_trtlive,FDR_trt_genotypeR500,FDR_trt_trtlive:genotypeR500,FDR_leaf_value_scale,sig.both
"met_amt_leaf_2,3-dihydroxybutanoic acid NIST",637.6666666666671,-50.666666666667005,1034.1666666666667,-265.6666666666666,0.8331460510720916,3.0572074507590667e-4,0.4380216384859902,0.08808717346176756,0.07909798556618582,0.708698196789505,leaf,0.9818554955053371,0.003587123408890638,0.8662000940846547,0.890934875963949,FALSE
met_amt_leaf_1-monostearin,730.0000000000001,13.83333333333325,197.50000000000017,-488.0000000000001,0.9544227289221858,0.4183916052217558,0.16431497753098095,0.08808717346176756,-0.1562560554889719,0.45834161490661063,leaf,0.9818554955053371,0.5710543611327379,0.8588094552981795,0.7682678497482236,FALSE
met_amt_leaf_1-monopalmitin,1817.5000000000005,311.33333333333354,-681.9999999999994,-413.8333333333339,0.23677935146009815,0.014654303932654659,0.2651713735785405,0.08808717346176753,0.2498526798639272,0.23091701063104036,leaf,0.9751625897404994,0.04866334890843811,0.8588094552981795,0.5833339206571589,FALSE
met_amt_leaf_1-methylgalactose NIST,47341.16666666667,9917.333333333336,-18904.833333333314,-9890.666666666679,0.2908309424043131,0.05179429472899757,0.4531216216479331,0.08808717346176755,-0.009224858080889325,0.9653013445746652,leaf,0.9751625897404994,0.11838695938056587,0.8763670924179806,0.994237396080371,FALSE
met_amt_leaf_1-kestose,591.0000000000006,139.83333333333334,1268.5,1103.333333333333,0.9000336087574842,0.26205875762637665,0.4860084148663797,0.08808717346176755,-0.012539148394158843,0.9528465960775694,leaf,0.9818554955053371,0.41551658866884944,0.8764169507493572,0.994237396080371,FALSE
met_amt_root_xylulose NIST,11559.333333333338,-4171.166666666668,-1943.6666666666633,2702.4999999999973,0.01199559234784994,0.21260791651133498,0.2201081367425285,0.08808717346176753,-0.14954234916874465,0.4781186066472438,root,0.09891186671153639,0.45810981492815095,0.7992188077834126,0.957658647600109,FALSE
met_amt_root_xylose,98169.50000000001,-17949.499999999996,98286.66666666673,32090.333333333285,0.7282538735029545,0.06798708633655982,0.6607824287991424,0.08808717346176756,0.08894050411536132,0.6742839650392078,root,0.8488257068643708,0.20992503851288646,0.9062134619097066,0.957658647600109,FALSE
met_amt_root_xylonic acid isomer,1958.6666666666665,595.666666666667,743.6666666666675,-342.00000000000085,0.3295782903982286,0.22658477309478353,0.6892658983376299,0.08808717346176752,0.3882346222072192,0.05624197542979514,root,0.5273252646371658,0.46176888843500186,0.9062134619097066,0.6711332878824972,FALSE
met_amt_root_xylonic acid,3614.5000000000005,794.6666666666664,-201.8333333333337,-150.33333333333275,0.35463453918764687,0.8122527884283113,0.9003947389333621,0.08808717346176756,0.073566738883980215,0.7282888358532256,root,0.5287271317103964,0.9163877613037358,0.9213341514666962,0.957658647600109,FALSE
met_amt_root_xanthine,1000.3333333333334,-430.16666666666663,-488.33333333333303,383.49999999999966,0.1313255507670061,0.0892557750758967,0.3331287932299922,0.08808717346176752,-0.5258199379463062,0.007105488209509239,root,0.34341557724882826,0.2441675852708441,0.7992188077834126,0.2966672018733061,FALSE
met_amt_root_vanillic acid,625.5000000000002,-239.16666666666674,-76.33333333333297,85.16666666666627,0.21396675672267015,0.6864040699929647,0.7498980581718999,0.08808717346176755,0.10229737602384266,0.6285881914740261,root,0.4093277085129342,0.8274460021832998,0.9062134619097066,0.957658647600109,FALSE
met_amt_root_valine,244701.83333333337,-54867.83333333332,-97125.49999999988,58258.66666666656,0.1723467746305019,0.020988741851985956,0.3005996762487234,0.0880871734617676,-0.5059027626979511,0.010113654609317253,root,0.3672696700199462,0.10864760488086848,0.7992188077834126,0.2966672018733061,FALSE
met_amt_root_uridine,10922.333333333328,2657.5000000000014,4547.833333333345,-7946.833333333339,0.7050683610099026,0.518633863114196,0.4264325036208254,0.08808717346176756,0.08408150620418298,0.6911992748022815,root,0.8328324264278044,0.7075934876596782,0.8157839199702748,0.957658647600109,FALSE
met_amt_root_urea,19757.500000000004,-10872.5,-11744.333333333327,10887.333333333325,0.007513301930169415,0.0043772297366040346,0.04810207535062712,0.08808717346176757,-0.1682913641145825,0.42398431555940486,root,0.06959690208999036,0.04054697019170053,0.5298649600177656,0.957658647600109,FALSE
met_amt_root_uracil,79659.6666666667,-45058.83333333333,-54748.66666666665,40451.16666666664,0.0014495171388072279,2.271228741965457e-4,0.02960402924705558,0.08808717346176752,-0.2038335146638743,0.331141620396479,root,0.024963349444986294,0.004996703232324005,0.49756186385869683,0.957658647600109,FALSE
met_amt_root_UDP-N-acetylglucosamine,469.5,-58.66666666666662,-20.99999999999978,27.666666666666444,0.6100777907107603,0.8547411098427662,0.8645718909390431,0.08808717346176755,0.07233305214035814,0.7326814280279367,root,0.7721505291598871,0.9469675582211153,0.9154392743649112,0.957658647600109,FALSE
met_amt_root_tyrosine,79008.1666666667,-10779.999999999998,-29305.999999999978,22956.833333333314,0.3183174593289564,0.011498228101163879,0.13895575560419607,0.08808717346176749,-0.39945175691764145,0.048891995890856486,root,0.5156612450567589,0.06745627152682808,0.717771853157204,0.6711332878824972,FALSE
met_amt_root_tryptophan,13560.333333333345,3502.6666666666647,9770.000000000002,-4508.166666666671,0.5443048499619567,0.10077237517737382,0.5807790744019382,0.08808717346176755,-0.22894447098696966,0.27362533755727225,root,0.7096122488392917,0.26082261810614404,0.8788286683131502,0.9261165271169215,FALSE
met_amt_root_tocopherol alpha-,682.8333333333331,-315.49999999999983,-50.999999999999595,108.49999999999966,0.13775774003490282,0.8051949299480754,0.710897580899031,0.08808717346176756,-0.26210255386564646,0.20806416548116388,root,0.34341557724882826,0.9163877613037358,0.9062134619097066,0.8921241875669118,FALSE
met_amt_root_thymine,1528.6666666666667,-917.6666666666666,-470.33333333333235,362.8333333333325,0.022366947435882974,0.21907207498483328,0.496812465336687,0.08808717346176753,-0.2991390787713266,0.1484179715691225,root,0.15140702879674628,0.4590081571110793,0.8445666470298464,0.8443341427577556,FALSE
met_amt_root_threonine,46074.16666666668,10878.000000000002,-15250,-7083.3333333333385,0.435188092666293,0.27748749514876375,0.7177191550540534,0.08808717346176757,-0.21781700998353676,0.29827489064383333,root,0.597350348469298,0.5366791114965102,0.9062134619097066,0.956820540199805,FALSE
met_amt_root_threonic acid,236427.3333333333,-215276.33333333328,-218558.83333333314,209327.66666666645,1.7617236273863443e-6,1.4228895262665931e-6,1.8295646445032828e-4,0.08808717346176756,-0.3235918045338767,0.11640714646547169,root,3.100633584199966e-4,1.252142783114602e-4,0.03220033774325778,0.8071634282503348,FALSE
