metabolite,estimate_trt_(Intercept),estimate_trt_trtlive,estimate_trt_genotypeR500,estimate_trt_trtlive:genotypeR500,p.value_trt_trtlive,p.value_trt_genotypeR500,p.value_trt_trtlive:genotypeR500,estimate_leaf_(Intercept),estimate_leaf_value_scale,p.value_leaf_value_scale,tissue,FDR_trt_trtlive,FDR_trt_genotypeR500,FDR_trt_trtlive:genotypeR500,FDR_leaf_value_scale,sig.both
met_per_mg_root_5-aminovaleric acid,17.150121162974344,17.572317969778748,-9.02104518870484,-17.046514459085753,0.10847516285536565,0.39860976279724636,0.2626976857498696,0.0880871734617675,-0.3218718661208841,0.11847782376885592,root,0.3106206958678099,0.6252781574389598,0.664635611781541,0.3989287379140475,FALSE
met_per_mg_root_4-hydroxybutyric acid,58.861773282375005,9.9892332322614,-43.420672850906435,-11.2652104693533,0.4556396007146464,0.0035185017592108555,0.5508736776031407,0.08808717346176755,0.18586372452784983,0.37643778039994835,root,0.5993398731299184,0.04763510074008543,0.7401050935736851,0.598405380842097,FALSE
met_per_mg_root_4-hydroxybenzoate,13.462764670090914,6.01139005178702,-9.493962199928111,-7.231427342213238,0.23060893713448855,0.06498183874384773,0.305451841545481,0.08808717346176755,-0.10067091959291774,0.6340864428199089,root,0.4018531973828711,0.2847769643149627,0.664635611781541,0.7804140834706571,FALSE
met_per_mg_root_4-aminobutyric acid,669.7713958748686,9993.532514301214,-605.6875101281497,-9815.863002402059,0.09159652257419532,0.9155344902559113,0.2326569629217161,0.08808717346176757,-0.43405374169008015,0.030841332273905547,root,0.3106206958678099,0.9423045045908793,0.664635611781541,0.33387160407201105,FALSE
met_per_mg_root_3-hydroxypropionic acid,28.309753859449295,14.06174636994399,-21.801469048157617,-14.908210232342576,0.24489979238335066,0.0780299983008005,0.37979095997882173,0.08808717346176763,-0.2392447098818628,0.25199840446769445,root,0.4225721907791149,0.2985495587161063,0.664635611781541,0.5097898757047612,FALSE
met_per_mg_root_3-hydroxy-3-methylglutaric acid,14.005878401833868,-3.050814401681237,-12.508901176065123,2.713281111539249,0.26798826239066115,1.466922353214109e-4,0.4819318774288749,0.08808717346176756,-0.10272568802770726,0.6271434446159192,root,0.43440072700343424,0.00860594447218944,0.7068334202290164,0.7773045510732519,FALSE
met_per_mg_root_3-aminoisobutyric acid,39.674409796575105,21.96196243062394,-34.218775496205026,-18.336453845717198,0.2127449108687275,0.058632450269300786,0.45618243558910354,0.0880871734617675,-0.3083752858329544,0.13566708479161246,root,0.39413794013574777,0.27156082229991946,0.6862231509716429,0.4085209497204664,FALSE
"met_per_mg_root_3,4-dihydroxycinnamic acid",25.295573623067018,40.81838478345255,-21.725142082179246,-36.793938665789966,0.09381543346906274,0.3602515997258843,0.27541629325725653,0.08808717346176757,-0.21447777477479676,0.30593241233961344,root,0.3106206958678099,0.5925633789883704,0.664635611781541,0.5494296384874691,FALSE
met_per_mg_root_2-ketoisocaproic acid,24.990555059547248,-1.5123623464257043,-18.89288071684745,-0.3559873077776584,0.81319097842132,0.007215430974243425,0.9686037767445046,0.08808717346176757,-0.22282637860963714,0.2870128127959531,root,0.8621783867599538,0.07055088063704683,0.9707996607457888,0.5373856920434866,FALSE
met_per_mg_root_2-ketoglucose dimethylacetal NIST,633.0117325214833,-515.2002092362941,-629.464591067266,514.602125403588,0.00790791885838516,0.0017681101784282347,0.05020552826402871,0.08808717346176755,-0.034697694689437494,0.869988694134751,root,0.16281075162484351,0.034576376822596594,0.664635611781541,0.916874312381534,FALSE
met_per_mg_root_2-hydroxyglutaric acid,17.115002586602504,26.652267375883607,-8.169996925852827,-29.09125224168412,0.008325549798997679,0.38017726475236424,0.035168904628486486,0.08808717346176753,0.11845529432423846,0.5750414915376383,root,0.16281075162484351,0.6082836236037829,0.664635611781541,0.7571918653732163,FALSE
met_per_mg_root_2'-deoxyguanosine,5.4076551186786785,8.666459296244291,-3.5675839042323005,-8.542296988742379,0.11667629960350073,0.5073793266489683,0.2665695046307223,0.08808717346176756,-0.35703600527740864,0.08120758398066626,root,0.3106206958678099,0.666408667837451,0.664635611781541,0.37891365039364194,FALSE
met_per_mg_root_2-aminobutyric acid,70.77301792715367,20.04467720532815,-51.64906496166859,-20.427383899633156,0.5181525984573307,0.10558802443269376,0.6406112485484531,0.08808717346176753,-0.28596024012189103,0.16805140340093788,root,0.6421308281232828,0.3253786712911579,0.7829693037814427,0.43495657350830985,FALSE
"met_per_mg_root_2,5-dihydroxypyrazine NIST",15.169150052780642,37.161158810013745,-10.252095263614535,-36.62539262960663,0.019063940216223627,0.4898024097371828,0.09072376278576749,0.08808717346176755,-0.0368785799548016,0.8618910999522924,root,0.27517890592621586,0.6579760878807035,0.664635611781541,0.9138122505518281,FALSE
"met_per_mg_root_2,3-dihydroxybutanoic acid NIST",13.487338588389136,3.0005173252236137,-8.880580354717733,-2.2720428814506874,0.5217312978501673,0.06789293826190311,0.7306026508404586,0.08808717346176759,-0.2874970790469113,0.1656730542411109,root,0.6421308281232828,0.2847769643149627,0.8242696573584661,0.43495657350830985,FALSE
met_per_mg_root_1-monostearin,9.360520593085708,2.8725221083282744,-7.1117159821601765,-2.7670082640291653,0.43846043771338805,0.06441379960541471,0.5961790119056252,0.08808717346176752,-0.24146449393646927,0.24748718941829298,root,0.584613916951184,0.2847769643149627,0.747869314118066,0.5064854109025531,FALSE
met_per_mg_root_1-monopalmitin,13.588587240502113,-1.3311040069933477,-9.248855434624515,-0.5648379403383528,0.614511458437488,0.001985476555127357,0.8795295580813883,0.08808717346176752,0.11030344812213487,0.601806462700516,root,0.7068889979411627,0.03494438737024149,0.9214119179900259,0.774176596209913,FALSE
met_per_mg_root_1-methylgalactose NIST,299.6048619763143,301.9306934233469,-248.12279684298184,-271.5134927587112,0.2175146126433662,0.3078689806911482,0.4276688725291399,0.08808717346176752,-0.43659415331202134,0.029761854101288576,root,0.39466568891992215,0.5422571915516827,0.664635611781541,0.33387160407201105,FALSE
met_per_mg_root_1-kestose,35.802410714433705,48.55678002721143,71.77813114072585,-131.44551369337407,0.5178161236389842,0.34207622426275663,0.2221000139151664,0.08808717346176755,-0.06690711120449591,0.7520958566482054,root,0.6421308281232828,0.5733849092404302,0.664635611781541,0.8452294531544038,FALSE
