metabolite,PC,loading,PropVar_met_per_mg,beta,organ,transformation,metabolite_effect_on_leaf
methyl O-D-galactopyranoside,leaf_PC3,-0.10101789070582143,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
dehydroascorbic acid,leaf_PC3,-0.09076203752795552,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
isocitric acid,leaf_PC3,-0.08660180325574414,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
lysine,leaf_PC3,0.08524745599303263,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
citric acid,leaf_PC3,-0.07703212214099049,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
aconitic acid,leaf_PC3,-0.07593706961350685,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
isoleucine,leaf_PC3,0.07574767153790923,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
xylonic acid,leaf_PC3,-0.07507627146477065,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
sinapinic acid,leaf_PC3,-0.07339265683730885,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
fructose-6-phosphate,leaf_PC3,-0.07301957220167275,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
galactonic acid,leaf_PC3,-0.07186389475820439,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
glyceric acid,leaf_PC3,-0.07143427519056127,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
glutamine,leaf_PC3,0.07104559940517956,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
tyrosine,leaf_PC3,0.07032233754816003,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
N-acetylmannosamine,leaf_PC3,-0.07018892107845279,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
homoserine,leaf_PC3,0.06957706168112908,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
glycine,leaf_PC3,0.06953542237438819,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
mucic acid,leaf_PC3,-0.06948450685026328,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
xylonic acid isomer,leaf_PC3,-0.06944717864344432,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
methanolphosphate,leaf_PC3,-0.06931854416030604,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
valine,leaf_PC3,0.06894525835265404,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
glucose-6-phosphate,leaf_PC3,-0.06869195653048013,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
tagatose,leaf_PC3,-0.06717193253599787,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
ornithine,leaf_PC3,-0.06613902253569474,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
uracil,leaf_PC3,0.06589167988967048,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
cyano-l-alanine,leaf_PC3,0.06335645629133109,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
phenylalanine,leaf_PC3,0.06212544740403706,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
adenine,leaf_PC3,0.06186124522860327,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
oxoproline,leaf_PC3,0.06179724890481358,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
glucoheptulose,leaf_PC3,-0.06118981896119117,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
ribose,leaf_PC3,0.0611408766255458,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
phenylethylamine,leaf_PC3,0.06103739010593951,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
phytol,leaf_PC3,-0.06003890180022359,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
n-acetyl-d-hexosamine,leaf_PC3,-0.05972455367712047,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
pyrrole-2-carboxylic acid,leaf_PC3,0.059318561634654834,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
dihydroxyacetone,leaf_PC3,-0.05888962786157776,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
glycerol-alpha-phosphate,leaf_PC3,-0.05826239803810226,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
raffinose,leaf_PC3,-0.05789001168168013,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
2-hydroxyglutaric acid,leaf_PC3,-0.057864187555301996,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
cyanoalanine,leaf_PC3,0.05734685731497972,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
sucrose,leaf_PC3,-0.05718947639022791,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
putrescine,leaf_PC3,0.05642573374624441,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
leucine,leaf_PC3,0.05612636516274626,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
fructose,leaf_PC3,-0.05582055544316443,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
1-methylgalactose NIST,leaf_PC3,-0.055811995924618864,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
inulotriose,leaf_PC3,-0.055436759703612344,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
ribitol,leaf_PC3,-0.05504287568855223,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
myo-inositol,leaf_PC3,-0.05469696322734349,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
guanine,leaf_PC3,0.05350742895114587,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
vanillic acid,leaf_PC3,0.052955583279494484,0.10984139421827625,-0.005170053506670078,leaf,normalized,decrease
1-kestose,leaf_PC3,-0.0523272660398673,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
ferulic acid,leaf_PC3,-0.05049005058934159,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
erythronic acid lactone,leaf_PC3,-0.05012758169644938,0.10984139421827625,-0.005170053506670078,leaf,normalized,increase
