sample,genotype,trt,blk,sample_2,Phylum,Abundance,sample_3,sample_4
FPsc.5E.live.wk2.blk12.Db9.pot523,FPsc,Live,blk12,s_08,Chloroflexi,0.012511968,F_b12,blk12.FPsc
FPsc.5E.live.wk2.blk12.Db9.pot523,FPsc,Live,blk12,s_08,Acidobacteria,0.008943337,F_b12,blk12.FPsc
FPsc.5E.live.wk2.blk12.Db9.pot523,FPsc,Live,blk12,s_08,Cyanobacteria,0.002502394,F_b12,blk12.FPsc
FPsc.5E.live.wk2.blk12.Db9.pot523,FPsc,Live,blk12,s_08,< 1% abundance,0.011989729,F_b12,blk12.FPsc
FPsc.5E.live.wk2.blk2.Db1.pot52,FPsc,Live,blk02,s_09,Proteobacteria,0.545913482,F_b02,blk02.FPsc
FPsc.5E.live.wk2.blk2.Db1.pot52,FPsc,Live,blk02,s_09,Firmicutes,0.031769519,F_b02,blk02.FPsc
FPsc.5E.live.wk2.blk2.Db1.pot52,FPsc,Live,blk02,s_09,Bacteroidetes,0.174732353,F_b02,blk02.FPsc
FPsc.5E.live.wk2.blk2.Db1.pot52,FPsc,Live,blk02,s_09,Actinobacteria,0.165919575,F_b02,blk02.FPsc
FPsc.5E.live.wk2.blk2.Db1.pot52,FPsc,Live,blk02,s_09,Planctomycetes,0.024784577,F_b02,blk02.FPsc
FPsc.5E.live.wk2.blk2.Db1.pot52,FPsc,Live,blk02,s_09,Verrucomicrobia,0.013687005,F_b02,blk02.FPsc
FPsc.5E.live.wk2.blk2.Db1.pot52,FPsc,Live,blk02,s_09,Chloroflexi,0.017799634,F_b02,blk02.FPsc
FPsc.5E.live.wk2.blk2.Db1.pot52,FPsc,Live,blk02,s_09,Acidobacteria,0.010510053,F_b02,blk02.FPsc
FPsc.5E.live.wk2.blk2.Db1.pot52,FPsc,Live,blk02,s_09,Cyanobacteria,0.002284794,F_b02,blk02.FPsc
FPsc.5E.live.wk2.blk2.Db1.pot52,FPsc,Live,blk02,s_09,< 1% abundance,0.012599008,F_b02,blk02.FPsc
FPsc.5E.live.wk2.blk4.Db3.pot174,FPsc,Live,blk04,s_10,Proteobacteria,0.524088258,F_b04,blk04.FPsc
FPsc.5E.live.wk2.blk4.Db3.pot174,FPsc,Live,blk04,s_10,Firmicutes,0.036991905,F_b04,blk04.FPsc
FPsc.5E.live.wk2.blk4.Db3.pot174,FPsc,Live,blk04,s_10,Bacteroidetes,0.229284533,F_b04,blk04.FPsc
FPsc.5E.live.wk2.blk4.Db3.pot174,FPsc,Live,blk04,s_10,Actinobacteria,0.131408304,F_b04,blk04.FPsc
FPsc.5E.live.wk2.blk4.Db3.pot174,FPsc,Live,blk04,s_10,Planctomycetes,0.025306815,F_b04,blk04.FPsc
FPsc.5E.live.wk2.blk4.Db3.pot174,FPsc,Live,blk04,s_10,Verrucomicrobia,0.018604752,F_b04,blk04.FPsc
FPsc.5E.live.wk2.blk4.Db3.pot174,FPsc,Live,blk04,s_10,Chloroflexi,0.012381408,F_b04,blk04.FPsc
FPsc.5E.live.wk2.blk4.Db3.pot174,FPsc,Live,blk04,s_10,Acidobacteria,0.008812777,F_b04,blk04.FPsc
FPsc.5E.live.wk2.blk4.Db3.pot174,FPsc,Live,blk04,s_10,Cyanobacteria,0.002001915,F_b04,blk04.FPsc
FPsc.5E.live.wk2.blk4.Db3.pot174,FPsc,Live,blk04,s_10,< 1% abundance,0.011119332,F_b04,blk04.FPsc
FPsc.5E.live.wk2.blk5.Db4.pot218,FPsc,Live,blk05,s_11,Proteobacteria,0.500435199,F_b05,blk05.FPsc
FPsc.5E.live.wk2.blk5.Db4.pot218,FPsc,Live,blk05,s_11,Firmicutes,0.03529463,F_b05,blk05.FPsc
FPsc.5E.live.wk2.blk5.Db4.pot218,FPsc,Live,blk05,s_11,Bacteroidetes,0.277047611,F_b05,blk05.FPsc
FPsc.5E.live.wk2.blk5.Db4.pot218,FPsc,Live,blk05,s_11,Actinobacteria,0.100617982,F_b05,blk05.FPsc
FPsc.5E.live.wk2.blk5.Db4.pot218,FPsc,Live,blk05,s_11,Planctomycetes,0.017538515,F_b05,blk05.FPsc
FPsc.5E.live.wk2.blk5.Db4.pot218,FPsc,Live,blk05,s_11,Verrucomicrobia,0.02717817,F_b05,blk05.FPsc
FPsc.5E.live.wk2.blk5.Db4.pot218,FPsc,Live,blk05,s_11,Chloroflexi,0.0157542,F_b05,blk05.FPsc
FPsc.5E.live.wk2.blk5.Db4.pot218,FPsc,Live,blk05,s_11,Acidobacteria,0.01172861,F_b05,blk05.FPsc
FPsc.5E.live.wk2.blk5.Db4.pot218,FPsc,Live,blk05,s_11,Cyanobacteria,0.001914875,F_b05,blk05.FPsc
FPsc.5E.live.wk2.blk5.Db4.pot218,FPsc,Live,blk05,s_11,< 1% abundance,0.012490208,F_b05,blk05.FPsc
FPsc.5E.live.wk2.blk7.Db6.pot292,FPsc,Live,blk07,s_12,Proteobacteria,0.579467317,F_b07,blk07.FPsc
FPsc.5E.live.wk2.blk7.Db6.pot292,FPsc,Live,blk07,s_12,Firmicutes,0.039690138,F_b07,blk07.FPsc
FPsc.5E.live.wk2.blk7.Db6.pot292,FPsc,Live,blk07,s_12,Bacteroidetes,0.176233789,F_b07,blk07.FPsc
FPsc.5E.live.wk2.blk7.Db6.pot292,FPsc,Live,blk07,s_12,Actinobacteria,0.118287057,F_b07,blk07.FPsc
FPsc.5E.live.wk2.blk7.Db6.pot292,FPsc,Live,blk07,s_12,Planctomycetes,0.03109496,F_b07,blk07.FPsc
FPsc.5E.live.wk2.blk7.Db6.pot292,FPsc,Live,blk07,s_12,Verrucomicrobia,0.017016276,F_b07,blk07.FPsc
FPsc.5E.live.wk2.blk7.Db6.pot292,FPsc,Live,blk07,s_12,Chloroflexi,0.014209244,F_b07,blk07.FPsc
FPsc.5E.live.wk2.blk7.Db6.pot292,FPsc,Live,blk07,s_12,Acidobacteria,0.010531813,F_b07,blk07.FPsc
FPsc.5E.live.wk2.blk7.Db6.pot292,FPsc,Live,blk07,s_12,Cyanobacteria,0.001087997,F_b07,blk07.FPsc
FPsc.5E.live.wk2.blk7.Db6.pot292,FPsc,Live,blk07,s_12,< 1% abundance,0.012381408,F_b07,blk07.FPsc
