pot,data_type,pot_density,block,col,row,bench,soil,genotype,5E_soil_trts,time_point,soil_probes,leaf_temp_probe,plant_date,lf_1_03.24_no_germ,lf_2_03.24_no_germ,avg_lf_03.24_no_germ
109,phys,3,3,5,5,1,BLANK,FPsc,No inoculation,wk4,,,3/6/17,3.121113993,2.711275572,2.918268227
114,phys,3,3,1,6,1,5E,R500,Disrupted,wk4,soil_moisture_temp,leaf_temp,3/6/17,4.666223438,3.710278358,4.182864051
115,phys,3,3,1,7,1,5E,FPsc,Live,wk2,,,3/6/17,4.132890105,2.543611691,3.332864051
117,phys,3,3,1,9,1,5E,FPsc,Disrupted,wk2,,,3/6/17,2.699556772,2.110278358,2.399530717
120,phys,3,3,2,8,1,5E,R500,Disrupted,wk2,,,3/6/17,4.199556772,3.176945024,3.682864051
123,phys,3,3,3,7,1,BLANK,R500,No inoculation,wk4,,,3/6/17,4.254447326,3.411275572,3.834934894
126,phys,3,3,4,6,1,BLANK,FPsc,No inoculation,wk2,,,3/6/17,2.758372697,2.288720945,2.523133502
130,phys,3,3,5,6,1,5E,R500,Live,wk2,,,3/6/17,4.499556772,3.743611691,4.116197384
137,RNAseq,3,4,1,1,1,5E,R500,Disrupted,wk4,,,3/6/17,3.232890105,2.810278358,3.016197384
141,RNAseq,3,4,2,2,1,5E,FPsc,Disrupted,wk2,,,3/6/17,2.032890105,1.743611691,1.882864051
152,RNAseq,2,4,4,1,1,5E,FPsc,Live,wk4,,,3/6/17,2.821113993,1.911275572,2.368268227
153,RNAseq,3,4,5,5,1,BLANK,R500,No inoculation,wk2,,,3/6/17,4.087780659,3.211275572,3.65160156
154,RNAseq,3,4,5,4,1,5E,R500,Disrupted,wk2,,,3/6/17,3.766223438,3.410278358,3.582864051
162,RNAseq,3,4,2,6,1,5E,R500,Live,wk2,,,3/6/17,4.054447326,3.544608905,3.80160156
166,RNAseq,3,4,3,6,1,BLANK,R500,No inoculation,wk4,,,3/6/17,3.366223438,2.910278358,3.132864051
168,RNAseq,3,4,3,8,1,BLANK,FPsc,No inoculation,wk4,,,3/6/17,3.754447326,3.177942239,3.468268227
169,RNAseq,3,4,3,9,1,5E,FPsc,Disrupted,wk4,,,3/6/17,3.59170603,3.222054278,3.406466835
170,RNAseq,3,4,4,6,1,BLANK,FPsc,No inoculation,wk2,,,3/6/17,2.954447326,2.777942239,2.868268227
172,RNAseq,3,4,4,8,1,5E,R500,Live,wk4,,,3/6/17,4.921113993,4.111275572,4.518268227
174,RNAseq,3,4,5,6,1,5E,FPsc,Live,wk2,,,3/6/17,3.562298068,2.832832985,3.194665443
178,RNAseq,3,5,1,4,2,BLANK,FPsc,No inoculation,wk2,,,3/6/17,3.021113993,2.677942239,2.85160156
179,RNAseq,3,5,1,3,2,5E,R500,Disrupted,wk2,,,3/6/17,4.287780659,3.144608905,3.718268227
181,RNAseq,3,5,1,1,2,5E,FPsc,Disrupted,wk2,,,3/6/17,2.528964734,2.199499651,2.361332109
