exp,pot,pot,block,bench,row,col,genotype,density,5E_soil_trts,descriptor,Leaf_Ln_cm,data_type,pot_density,time_point,raw_avg_lf_11.03.17,lf_1_03.24_no_germ,lf_2_03.24_no_germ
PGP Exp.,238,NA,6,2,3,4,R500,NA,Disrupted,avg_lf_03.24_no_germ,4.527998776,Phys,3,wk2,NA,4.862298068,4.199499651
PGP Exp.,241,NA,6,2,5,5,R500,NA,Live,avg_lf_03.24_no_germ,5.211332109,Phys,3,wk4,NA,5.762298068,4.666166318
PGP Exp.,242,NA,6,2,4,5,FPsc,NA,Live,avg_lf_03.24_no_germ,3.516197384,Phys,3,wk2,NA,3.399556772,3.643611691
PGP Exp.,248,NA,6,2,8,1,R500,NA,Disrupted,avg_lf_03.24_no_germ,4.618268227,Phys,3,wk4,NA,4.987780659,4.244608905
PGP Exp.,250,NA,6,2,6,2,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,3.15160156,Phys,3,wk2,NA,3.054447326,3.244608905
PGP Exp.,251,NA,6,2,7,2,R500,NA,No inoculation,avg_lf_03.24_no_germ,3.618268227,Phys,3,wk4,NA,4.087780659,3.144608905
PGP Exp.,254,NA,6,2,6,3,R500,NA,Live,avg_lf_03.24_no_germ,4.718268227,Phys,3,wk2,NA,5.054447326,4.377942239
PGP Exp.,255,NA,6,2,7,3,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,3.056466835,Phys,3,wk4,NA,2.958372697,3.155387612
PGP Exp.,257,NA,6,2,9,3,R500,NA,No inoculation,avg_lf_03.24_no_germ,4.684934894,Phys,3,wk2,NA,5.054447326,4.311275572
PGP Exp.,263,NA,6,2,7,5,FPsc,NA,Live,avg_lf_03.24_no_germ,3.60160156,Phys,3,wk4,NA,3.321113993,3.877942239
PGP Exp.,266,NA,7,2,4,1,R500,NA,Live,avg_lf_03.24_no_germ,4.944665443,RNAseq,3,wk2,NA,5.528964734,4.366166318
PGP Exp.,269,NA,7,2,1,1,R500,NA,Disrupted,avg_lf_03.24_no_germ,4.082864051,RNAseq,3,wk2,NA,4.232890105,3.943611691
PGP Exp.,272,NA,7,2,3,2,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,2.916197384,RNAseq,3,wk2,NA,3.032890105,2.810278358
PGP Exp.,278,NA,7,2,2,3,R500,NA,No inoculation,avg_lf_03.24_no_germ,3.418268227,RNAseq,3,wk2,NA,3.921113993,2.911275572
PGP Exp.,281,NA,7,2,4,4,R500,NA,Live,avg_lf_03.24_no_germ,4.439800168,RNAseq,3,wk4,NA,4.758372697,4.122054278
PGP Exp.,284,NA,7,2,1,4,FPsc,NA,Live,avg_lf_03.24_no_germ,2.827998776,RNAseq,3,wk4,NA,2.895631401,2.766166318
